#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	6449	6281	97.40	15	0.23	8	0.12	15	0.23	130	2.02
Ecoli	6449	6449	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	6449	6449	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	6449	6447	99.97	0	0.00	0	0.00	0	0.00	2	0.03
Vectors	6449	6442	99.89	0	0.00	0	0.00	1	0.02	6	0.09
Bacteria_24k	6449	6135	95.12	40	0.62	110	1.71	10	0.16	154	2.39
Protists_1k	6449	6166	95.61	20	0.31	23	0.36	34	0.53	206	3.19
Viruses	6449	6349	98.44	1	0.02	0	0.00	10	0.16	89	1.38
Fungi_RefSeq_release	6449	6297	97.63	5	0.08	1	0.02	21	0.33	125	1.94
Coral	6449	6351	98.48	0	0.00	0	0.00	9	0.14	89	1.38
Bird	6449	6339	98.29	0	0.00	0	0.00	12	0.19	98	1.52
Plant	6449	6353	98.51	0	0.00	0	0.00	6	0.09	90	1.40

%Hit_no_genomes: 92.76
