#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	456494	450789	98.76	376	0.08	101	0.02	686	0.15	4542	0.99
Ecoli	456494	456491	100.00	0	0.00	0	0.00	1	0.00	2	0.00
PhiX	456494	456494	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	456494	456465	99.99	0	0.00	0	0.00	0	0.00	29	0.01
Vectors	456494	456266	99.95	0	0.00	1	0.00	25	0.01	202	0.04
Bacteria_24k	456494	451034	98.80	475	0.10	1487	0.33	404	0.09	3094	0.68
Protists_1k	456494	447049	97.93	903	0.20	1467	0.32	632	0.14	6443	1.41
Viruses	456494	454111	99.48	2	0.00	2	0.00	367	0.08	2012	0.44
Fungi_RefSeq_release	456494	450720	98.73	187	0.04	71	0.02	743	0.16	4773	1.05
Coral	456494	453538	99.35	30	0.01	4	0.00	453	0.10	2469	0.54
Bird	456494	452454	99.12	110	0.02	20	0.00	761	0.17	3149	0.69
Plant	456494	453790	99.40	28	0.01	7	0.00	451	0.10	2218	0.49

%Hit_no_genomes: 97.24
