#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	36373	35516	97.64	151	0.42	41	0.11	47	0.13	618	1.70
Ecoli	36373	36368	99.99	0	0.00	0	0.00	1	0.00	4	0.01
PhiX	36373	36373	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	36373	36372	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	36373	36357	99.96	0	0.00	0	0.00	1	0.00	15	0.04
Bacteria_24k	36373	35601	97.88	61	0.17	161	0.44	39	0.11	511	1.40
Protists_1k	36373	35315	97.09	78	0.21	119	0.33	69	0.19	792	2.18
Viruses	36373	35961	98.86	2	0.01	4	0.01	32	0.09	374	1.03
Fungi_RefSeq_release	36373	35710	98.17	13	0.04	10	0.03	62	0.17	578	1.59
Coral	36373	35958	98.86	0	0.00	1	0.00	31	0.09	383	1.05
Bird	36373	35874	98.64	12	0.03	1	0.00	59	0.16	427	1.17
Plant	36373	35978	98.92	0	0.00	1	0.00	30	0.08	364	1.00

%Hit_no_genomes: 95.79
