#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	74112	71140	95.98	169	0.23	37	0.05	93	0.13	2673	3.61
Ecoli	74112	74108	100.00	0	0.00	0	0.00	1	0.00	3	0.00
PhiX	74112	74112	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	74112	74099	99.98	0	0.00	0	0.00	1	0.00	12	0.02
Vectors	74112	74033	99.89	0	0.00	0	0.00	8	0.01	71	0.10
Bacteria_24k	74112	70443	95.05	147	0.20	696	0.94	100	0.13	2726	3.68
Protists_1k	74112	70267	94.82	148	0.20	246	0.33	217	0.29	3234	4.36
Viruses	74112	71909	97.03	2	0.00	3	0.00	93	0.13	2105	2.84
Fungi_RefSeq_release	74112	71269	96.15	35	0.05	19	0.03	115	0.16	2674	3.61
Coral	74112	71823	96.91	5	0.01	2	0.00	76	0.10	2206	2.98
Bird	74112	71590	96.61	22	0.03	3	0.00	100	0.13	2397	3.23
Plant	74112	71869	96.97	5	0.01	2	0.00	96	0.13	2140	2.89

%Hit_no_genomes: 93.20
