#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	27196	25817	94.93	134	0.49	30	0.11	45	0.17	1170	4.30
Ecoli	27196	27182	99.95	0	0.00	0	0.00	1	0.00	13	0.05
PhiX	27196	27196	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	27196	27195	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	27196	27166	99.89	0	0.00	0	0.00	2	0.01	28	0.10
Bacteria_24k	27196	25767	94.74	109	0.40	249	0.92	66	0.24	1005	3.70
Protists_1k	27196	25418	93.45	73	0.27	173	0.64	78	0.29	1454	5.35
Viruses	27196	26383	97.01	2	0.01	1	0.00	83	0.31	727	2.67
Fungi_RefSeq_release	27196	25945	95.39	13	0.05	13	0.05	64	0.24	1161	4.27
Coral	27196	26400	97.07	2	0.01	2	0.01	32	0.12	760	2.79
Bird	27196	26205	96.35	11	0.04	6	0.02	86	0.32	888	3.27
Plant	27196	26385	97.02	0	0.00	0	0.00	60	0.22	751	2.76

%Hit_no_genomes: 91.28
