#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	69963	68251	97.55	202	0.29	48	0.07	89	0.13	1373	1.96
Ecoli	69963	69948	99.98	0	0.00	0	0.00	3	0.00	12	0.02
PhiX	69963	69963	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	69963	69961	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Vectors	69963	69912	99.93	0	0.00	0	0.00	7	0.01	44	0.06
Bacteria_24k	69963	65332	93.38	949	1.36	1647	2.35	138	0.20	1897	2.71
Protists_1k	69963	66513	95.08	248	0.35	353	0.50	575	0.82	2274	3.25
Viruses	69963	69075	98.73	11	0.02	6	0.01	141	0.20	730	1.04
Fungi_RefSeq_release	69963	68422	97.80	28	0.04	34	0.05	164	0.23	1315	1.88
Coral	69963	69150	98.85	1	0.00	2	0.00	65	0.09	745	1.06
Bird	69963	68878	98.45	29	0.04	6	0.01	173	0.25	877	1.25
Plant	69963	69139	98.82	4	0.01	0	0.00	94	0.13	726	1.04

%Hit_no_genomes: 90.74
