#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	512916	505287	98.51	298	0.06	63	0.01	659	0.13	6609	1.29
Ecoli	512916	512916	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	512916	512916	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	512916	512898	100.00	0	0.00	0	0.00	0	0.00	18	0.00
Vectors	512916	512594	99.93	0	0.00	0	0.00	26	0.01	296	0.06
Bacteria_24k	512916	506099	98.67	304	0.06	1077	0.21	448	0.09	4988	0.97
Protists_1k	512916	499978	97.47	1007	0.20	2238	0.44	678	0.13	9015	1.76
Viruses	512916	509049	99.25	11	0.00	5	0.00	547	0.11	3304	0.64
Fungi_RefSeq_release	512916	504773	98.42	210	0.04	165	0.03	829	0.16	6939	1.35
Coral	512916	508550	99.16	15	0.00	9	0.00	433	0.08	3909	0.76
Bird	512916	507221	98.89	163	0.03	48	0.01	925	0.18	4559	0.89
Plant	512916	508917	99.23	25	0.00	6	0.00	520	0.10	3448	0.67

%Hit_no_genomes: 96.95
