#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	518813	512188	98.72	399	0.08	121	0.02	623	0.12	5482	1.06
Ecoli	518813	518813	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	518813	518813	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	518813	518809	100.00	0	0.00	0	0.00	0	0.00	4	0.00
Vectors	518813	518495	99.94	0	0.00	0	0.00	37	0.01	281	0.05
Bacteria_24k	518813	512894	98.86	507	0.10	990	0.19	404	0.08	4018	0.77
Protists_1k	518813	508020	97.92	914	0.18	1841	0.35	665	0.13	7373	1.42
Viruses	518813	515625	99.39	10	0.00	3	0.00	541	0.10	2634	0.51
Fungi_RefSeq_release	518813	512106	98.71	206	0.04	93	0.02	780	0.15	5628	1.08
Coral	518813	515099	99.28	29	0.01	5	0.00	422	0.08	3258	0.63
Bird	518813	513950	99.07	167	0.03	38	0.01	804	0.15	3854	0.74
Plant	518813	515379	99.35	24	0.00	5	0.00	490	0.09	2915	0.56

%Hit_no_genomes: 97.35
