#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	113116	110842	97.99	82	0.07	30	0.03	172	0.15	1990	1.76
Ecoli	113116	113116	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	113116	113116	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	113116	113108	99.99	0	0.00	0	0.00	2	0.00	6	0.01
Vectors	113116	113012	99.91	0	0.00	0	0.00	3	0.00	101	0.09
Bacteria_24k	113116	110873	98.01	234	0.21	315	0.28	146	0.13	1548	1.37
Protists_1k	113116	109613	96.91	238	0.21	465	0.41	162	0.14	2638	2.33
Viruses	113116	111856	98.89	4	0.00	0	0.00	169	0.15	1087	0.96
Fungi_RefSeq_release	113116	110802	97.96	38	0.03	27	0.02	210	0.19	2039	1.80
Coral	113116	111758	98.80	1	0.00	3	0.00	104	0.09	1250	1.11
Bird	113116	111402	98.48	30	0.03	10	0.01	211	0.19	1463	1.29
Plant	113116	111804	98.85	14	0.01	2	0.00	141	0.12	1155	1.02

%Hit_no_genomes: 96.16
