#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	138379	135695	98.06	76	0.05	24	0.02	222	0.16	2362	1.71
Ecoli	138379	138378	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	138379	138379	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	138379	138364	99.99	0	0.00	0	0.00	0	0.00	15	0.01
Vectors	138379	138214	99.88	1	0.00	0	0.00	7	0.01	157	0.11
Bacteria_24k	138379	136450	98.61	53	0.04	99	0.07	152	0.11	1625	1.17
Protists_1k	138379	134395	97.13	269	0.19	560	0.40	109	0.08	3046	2.20
Viruses	138379	136900	98.93	3	0.00	1	0.00	215	0.16	1260	0.91
Fungi_RefSeq_release	138379	135644	98.02	58	0.04	26	0.02	232	0.17	2419	1.75
Coral	138379	136764	98.83	9	0.01	2	0.00	167	0.12	1437	1.04
Bird	138379	136238	98.45	45	0.03	10	0.01	279	0.20	1807	1.31
Plant	138379	136795	98.86	10	0.01	1	0.00	183	0.13	1390	1.00

%Hit_no_genomes: 96.74
