#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	84853	82566	97.30	58	0.07	15	0.02	181	0.21	2033	2.40
Ecoli	84853	84853	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	84853	84853	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	84853	84836	99.98	0	0.00	0	0.00	0	0.00	17	0.02
Vectors	84853	84596	99.70	0	0.00	0	0.00	3	0.00	254	0.30
Bacteria_24k	84853	83408	98.29	25	0.03	57	0.07	115	0.14	1248	1.47
Protists_1k	84853	81575	96.14	196	0.23	446	0.53	61	0.07	2575	3.03
Viruses	84853	83608	98.53	1	0.00	1	0.00	158	0.19	1085	1.28
Fungi_RefSeq_release	84853	82551	97.29	42	0.05	26	0.03	187	0.22	2047	2.41
Coral	84853	83550	98.47	2	0.00	2	0.00	121	0.14	1178	1.39
Bird	84853	83142	97.98	22	0.03	7	0.01	220	0.26	1462	1.72
Plant	84853	83459	98.36	8	0.01	2	0.00	138	0.16	1246	1.47

%Hit_no_genomes: 95.75
