Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Hte-ABur_001-Ex1-1A-lcwgs-1-T.clmp.fp2_repr.R1	Hte-ABur_001-Ex1-1A-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46761.0	0.0	33-150	43.0	91.47366395072817	125.32554906866834	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
Hte-ABur_001-Ex1-1A-lcwgs-1-T.clmp.fp2_repr.R2	Hte-ABur_001-Ex1-1A-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46761.0	0.0	33-150	43.0	93.49457881567973	123.52098971365027	pass	pass	warn	pass	pass	fail	pass	warn	pass	pass	pass
Hte-ABur_002-Ex1-1B-lcwgs-1-T.clmp.fp2_repr.R1	Hte-ABur_002-Ex1-1B-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4931.0	0.0	33-150	41.0	97.64753599675522	107.8330967349422	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Hte-ABur_002-Ex1-1B-lcwgs-1-T.clmp.fp2_repr.R2	Hte-ABur_002-Ex1-1B-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4931.0	0.0	33-150	41.0	97.93145406611235	107.04664368282296	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Hte-ABur_003-Ex1-1C-lcwgs-1-T.clmp.fp2_repr.R1	Hte-ABur_003-Ex1-1C-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36160.0	0.0	33-150	62.0	97.04922566371681	134.07309181415928	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
Hte-ABur_003-Ex1-1C-lcwgs-1-T.clmp.fp2_repr.R2	Hte-ABur_003-Ex1-1C-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36160.0	0.0	33-150	62.0	97.70188053097345	131.20743915929202	pass	pass	warn	pass	pass	fail	pass	warn	pass	pass	pass
Hte-ABur_004-Ex1-1D-lcwgs-1-T.clmp.fp2_repr.R1	Hte-ABur_004-Ex1-1D-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1406698.0	0.0	33-150	40.0	98.2485154292076	95.24814068122653	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Hte-ABur_004-Ex1-1D-lcwgs-1-T.clmp.fp2_repr.R2	Hte-ABur_004-Ex1-1D-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1406698.0	0.0	33-150	40.0	98.43002556560857	94.91530307144816	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Hte-ABur_005-Ex1-1E-lcwgs-1-T.clmp.fp2_repr.R1	Hte-ABur_005-Ex1-1E-lcwgs-1-T.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4811.0	0.0	33-150	42.0	99.33485761795885	100.42444398254001	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Hte-ABur_005-Ex1-1E-lcwgs-1-T.clmp.fp2_repr.R2	Hte-ABur_005-Ex1-1E-lcwgs-1-T.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4811.0	0.0	33-150	42.0	99.60507171066307	99.37580544585326	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
