#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1050	1028	97.91	0	0.00	0	0.00	2	0.19	20	1.90
Ecoli	1050	1050	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	1050	1050	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1050	1050	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	1050	1045	99.52	0	0.00	0	0.00	0	0.00	5	0.48
Bacteria_24k	1050	1036	98.66	0	0.00	0	0.00	1	0.10	13	1.24
Protists_1k	1050	1015	96.66	2	0.19	7	0.67	0	0.00	26	2.48
Viruses	1050	1034	98.47	0	0.00	0	0.00	1	0.10	15	1.43
Fungi_RefSeq_release	1050	1029	97.99	1	0.10	0	0.00	1	0.10	19	1.81
Coral	1050	1032	98.29	0	0.00	0	0.00	0	0.00	18	1.71
Bird	1050	1030	98.09	0	0.00	0	0.00	3	0.29	17	1.62
Plant	1050	1035	98.57	0	0.00	0	0.00	1	0.10	14	1.33

%Hit_no_genomes: 96.48
