#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3621974	3533519	97.56	2969	0.08	803	0.02	7231	0.20	77452	2.14
Ecoli	3621974	3621971	100.00	0	0.00	0	0.00	0	0.00	3	0.00
PhiX	3621974	3621974	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3621974	3621892	100.00	0	0.00	0	0.00	0	0.00	82	0.00
Vectors	3621974	3606273	99.57	5	0.00	1	0.00	376	0.01	15319	0.42
Bacteria_24k	3621974	3571351	98.60	1271	0.04	1875	0.05	4398	0.12	43079	1.19
Protists_1k	3621974	3502863	96.71	8597	0.24	15757	0.44	3439	0.09	91318	2.52
Viruses	3621974	3573572	98.67	87	0.00	40	0.00	4520	0.12	43755	1.21
Fungi_RefSeq_release	3621974	3540228	97.75	1609	0.04	474	0.01	8157	0.23	71506	1.97
Coral	3621974	3573120	98.65	241	0.01	63	0.00	5520	0.15	43030	1.19
Bird	3621974	3557298	98.21	1603	0.04	235	0.01	11127	0.31	51711	1.43
Plant	3621974	3565596	98.44	348	0.01	73	0.00	5703	0.16	50254	1.39

%Hit_no_genomes: 96.29
