#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1607701	1563039	97.22	1273	0.08	409	0.03	3108	0.19	39872	2.48
Ecoli	1607701	1607695	100.00	0	0.00	0	0.00	2	0.00	4	0.00
PhiX	1607701	1607701	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1607701	1607364	99.98	0	0.00	0	0.00	10	0.00	327	0.02
Vectors	1607701	1599672	99.50	1	0.00	2	0.00	205	0.01	7821	0.49
Bacteria_24k	1607701	1579151	98.23	1324	0.08	1798	0.11	2437	0.15	22991	1.43
Protists_1k	1607701	1547612	96.26	3837	0.24	7441	0.46	2012	0.13	46799	2.91
Viruses	1607701	1581892	98.40	75	0.00	17	0.00	2448	0.15	23269	1.45
Fungi_RefSeq_release	1607701	1567331	97.49	746	0.05	230	0.01	3812	0.24	35582	2.21
Coral	1607701	1583980	98.52	97	0.01	26	0.00	2565	0.16	21033	1.31
Bird	1607701	1575570	98.00	694	0.04	104	0.01	6478	0.40	24855	1.55
Plant	1607701	1580052	98.28	163	0.01	26	0.00	2542	0.16	24918	1.55

%Hit_no_genomes: 95.73
