#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1010159	962015	95.22	563	0.06	168	0.02	2711	0.27	44702	4.43
Ecoli	1010159	1010158	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	1010159	1010159	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1010159	1010120	100.00	0	0.00	0	0.00	1	0.00	38	0.00
Vectors	1010159	1001457	99.14	9	0.00	1	0.00	93	0.01	8599	0.85
Bacteria_24k	1010159	979416	96.95	388	0.04	462	0.05	2013	0.20	27880	2.76
Protists_1k	1010159	947083	93.75	2582	0.26	7456	0.74	889	0.09	52149	5.16
Viruses	1010159	981501	97.17	29	0.00	12	0.00	2451	0.24	26166	2.59
Fungi_RefSeq_release	1010159	961478	95.18	382	0.04	181	0.02	3122	0.31	44996	4.45
Coral	1010159	977867	96.81	43	0.00	9	0.00	2739	0.27	29501	2.92
Bird	1010159	971247	96.15	305	0.03	58	0.01	3551	0.35	34998	3.46
Plant	1010159	977487	96.77	73	0.01	21	0.00	2848	0.28	29730	2.94

%Hit_no_genomes: 93.42
