#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2464401	2349426	95.33	2097	0.09	548	0.02	7665	0.31	104665	4.25
Ecoli	2464401	2464391	100.00	0	0.00	0	0.00	1	0.00	9	0.00
PhiX	2464401	2464401	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2464401	2464352	100.00	0	0.00	0	0.00	4	0.00	45	0.00
Vectors	2464401	2444347	99.18	5	0.00	2	0.00	385	0.02	19662	0.80
Bacteria_24k	2464401	2385308	96.78	2106	0.09	2707	0.11	4870	0.20	69410	2.82
Protists_1k	2464401	2313033	93.86	8011	0.33	17111	0.69	3970	0.16	122276	4.96
Viruses	2464401	2395453	97.21	82	0.00	25	0.00	5183	0.21	63658	2.58
Fungi_RefSeq_release	2464401	2348918	95.31	1516	0.06	399	0.02	8530	0.35	105038	4.26
Coral	2464401	2384884	96.77	234	0.01	59	0.00	7040	0.29	72184	2.93
Bird	2464401	2368587	96.11	1043	0.04	179	0.01	9193	0.37	85399	3.47
Plant	2464401	2385934	96.82	276	0.01	42	0.00	6946	0.28	71203	2.89

%Hit_no_genomes: 93.28
