#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1529694	1478597	96.66	1546	0.10	392	0.03	4790	0.31	44369	2.90
Ecoli	1529694	1529694	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	1529694	1529694	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1529694	1529684	100.00	0	0.00	0	0.00	2	0.00	8	0.00
Vectors	1529694	1523572	99.60	3	0.00	0	0.00	387	0.03	5732	0.37
Bacteria_24k	1529694	1499782	98.05	301	0.02	284	0.02	2648	0.17	26679	1.74
Protists_1k	1529694	1455795	95.17	5805	0.38	11239	0.73	2119	0.14	54736	3.58
Viruses	1529694	1502897	98.26	48	0.00	11	0.00	2647	0.17	24091	1.57
Fungi_RefSeq_release	1529694	1477610	96.60	1072	0.07	300	0.02	5405	0.35	45307	2.96
Coral	1529694	1496592	97.84	204	0.01	34	0.00	3836	0.25	29028	1.90
Bird	1529694	1488181	97.29	794	0.05	154	0.01	5044	0.33	35521	2.32
Plant	1529694	1497778	97.92	229	0.01	64	0.00	3762	0.25	27861	1.82

%Hit_no_genomes: 94.65
