#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2103218	2037431	96.88	2014	0.10	518	0.02	6197	0.29	57058	2.71
Ecoli	2103218	2103217	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	2103218	2103218	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2103218	2103207	100.00	0	0.00	0	0.00	0	0.00	11	0.00
Vectors	2103218	2095324	99.63	4	0.00	0	0.00	432	0.02	7458	0.35
Bacteria_24k	2103218	2064726	98.17	395	0.02	378	0.02	3199	0.15	34520	1.64
Protists_1k	2103218	2008020	95.48	7164	0.34	14780	0.70	2577	0.12	70677	3.36
Viruses	2103218	2068612	98.36	54	0.00	23	0.00	3182	0.15	31347	1.49
Fungi_RefSeq_release	2103218	2036277	96.82	1393	0.07	408	0.02	6620	0.31	58520	2.78
Coral	2103218	2060613	97.98	252	0.01	60	0.00	4830	0.23	37463	1.78
Bird	2103218	2049999	97.47	1070	0.05	181	0.01	6368	0.30	45600	2.17
Plant	2103218	2062503	98.07	268	0.01	66	0.00	4740	0.23	35641	1.69

%Hit_no_genomes: 95.00
