Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Pbb-AGal_001-Ex1-12E-lcwgs-1-1.clmp.r1r2_fastp	59.9524	47.449000000000005	46.8645	45.3972	46.7885	45.4718	46.124700000000004	46.957300000000004	47.0877	45.6731	50.1901	49.155300000000004	48.7915	48.3649	48.384100000000004	48.0005	48.627199999999995	47.9433	48.784499999999994	48.4933	48.416599999999995	48.087999999999994	48.5554	47.749	48.3949	47.9684	48.0713	47.8868	48.517700000000005	47.7302	48.5745	48.1933	48.3723	47.946600000000004	48.4333	47.728500000000004	48.3721	47.9491	48.023500000000006	47.8292	48.411300000000004	47.706199999999995	48.3016	47.8337	48.0089	47.7819	48.146499999999996	47.6395	48.0911	47.8156	47.9013	47.795	48.1975	47.388999999999996	48.1758	47.797	47.9283	47.6663	48.127199999999995	47.341499999999996	48.1487	47.6836	47.8249	47.523900000000005	48.147400000000005	47.2054	48.052299999999995	47.5423	47.6319	47.652699999999996	48.174	47.3438	48.084199999999996	47.6977	47.6614	47.5946	48.1188	47.089	47.802	47.7065	47.5103	47.8233	48.0587	47.593	47.830099999999995	47.5365	47.5897	47.374300000000005	48.0452	47.3045	48.2941	47.9028	47.8527	47.9248	48.1838	47.6742	47.819	47.950199999999995	47.9047	47.6659	48.2799	47.7279	48.1987	47.9861	48.0533	47.8823	48.4527	47.8348	48.249900000000004	48.1421	48.348600000000005	48.1211	48.6228	48.0989	48.416399999999996	48.498200000000004	48.3613	47.9985	48.545	48.1778	48.5095	48.7313	48.5106	48.7974	48.92	48.7877	48.456700000000005	48.5526	48.6895	48.5474	49.182199999999995	48.814	49.0749	49.290299999999995	49.1012	49.1298	49.5977	48.8592	49.2538	50.0659	49.765	49.5867	50.0248	49.7923	49.8807	50.246900000000004	49.6487	50.151999999999994	50.412400000000005	49.3097
Pbb-AGal_002-Ex1-12F-lcwgs-1-1.clmp.r1r2_fastp	65.81620000000001	50.9799	52.2432	49.6165	51.753400000000006	49.6168	51.0754	51.7108	52.417899999999996	49.1559	55.9829	53.7068	54.335100000000004	52.3622	53.2952	52.0687	53.9247	51.932100000000005	53.7478	52.4636	53.412499999999994	52.1871	53.7571	51.6918	53.546400000000006	52.177099999999996	53.284200000000006	52.1586	53.8095	51.959	53.7258	52.42099999999999	53.3455	52.343700000000005	53.7841	51.932900000000004	53.607000000000006	52.317400000000006	53.2889	52.1832	53.851000000000006	51.9692	53.6514	52.42790000000001	53.2844	52.224000000000004	53.79469999999999	51.958000000000006	53.6103	52.392799999999994	53.371599999999994	52.2874	53.83989999999999	51.9592	53.693400000000004	52.437999999999995	53.3878	52.1715	53.7955	51.9127	53.667699999999996	52.3784	53.319300000000005	52.2509	53.691199999999995	51.9756	53.5389	52.385999999999996	53.21169999999999	52.2787	53.6318	51.9358	53.6034	52.46150000000001	53.229400000000005	52.33710000000001	53.6634	52.018299999999996	53.5018	52.4849	53.2907	52.280899999999995	53.5967	52.077600000000004	53.3783	52.550399999999996	53.225	52.3744	53.5807	52.05689999999999	53.406699999999994	52.6014	53.0688	52.4192	53.5039	52.1777	53.36880000000001	52.6424	53.1988	52.5909	53.4686	52.27460000000001	53.4042	52.756899999999995	53.0907	52.661	53.508100000000006	52.30089999999999	53.354800000000004	52.8056	53.1235	52.747	53.5353	52.4764	53.2735	52.788500000000006	52.997099999999996	52.6933	53.3344	52.517100000000006	53.2754	52.988800000000005	53.0014	52.9026	53.446099999999994	52.6184	53.3666	53.044999999999995	53.068000000000005	53.005599999999994	53.6457	52.6775	53.480399999999996	53.277300000000004	53.09739999999999	53.132999999999996	53.5577	52.818200000000004	53.453799999999994	53.4853	53.1995	53.296200000000006	53.73440000000001	52.8397	53.424400000000006	53.4311	53.2302	53.349199999999996	53.7321	52.898900000000005
Pbb-AGal_003-Ex1-12G-lcwgs-1-1.clmp.r1r2_fastp	55.845800000000004	40.7567	41.8064	39.472699999999996	40.2694	39.0355	39.0517	40.2022	40.3787	39.1492	43.8041	42.8497	42.0097	41.4608	41.4729	41.2209	41.4445	41.2976	41.5368	41.3601	41.5225	41.3333	41.2523	40.9476	41.0289	40.8198	40.9579	40.9142	41.1096	40.982800000000005	41.1908	41.099000000000004	41.1211	41.0207	41.043400000000005	40.8601	40.842099999999995	40.7866	40.8814	40.7902	40.9789	40.7357	40.864200000000004	40.8071	40.773199999999996	40.664	40.723	40.5857	40.7325	40.6682	40.6916	40.7151	40.8088	40.6153	40.7626	40.629799999999996	40.617	40.5408	40.672999999999995	40.5362	40.691100000000006	40.624300000000005	40.7263	40.529900000000005	40.6751	40.518	40.5619	40.5345	40.4824	40.5308	40.586	40.535	40.6021	40.5818	40.5565	40.562599999999996	40.5368	40.383	40.5063	40.3516	40.4364	40.4066	40.4606	40.4119	40.352900000000005	40.3257	40.3969	40.3235	40.354299999999995	40.258	40.3594	40.3329	40.3993	40.2842	40.3116	40.2899	40.206900000000005	40.1601	40.1782	40.2079	40.163	40.189	40.2429	40.1976	40.2273	40.1753	40.2095	40.1403	40.1058	40.1607	40.0887	40.1439	40.1861	40.0379	40.1858	40.1744	40.135799999999996	40.0059	40.1553	40.0681	40.143499999999996	40.1573	40.075	40.139399999999995	40.2453	40.1196	40.022200000000005	40.0542	40.2108	40.0494	40.0976	39.97	40.2213	40.0291	40.2018	40.1765	40.2678	40.1665	40.2417	40.2362	40.2652	40.4738	40.2744	40.4508	40.3971	40.3602	40.3998	40.3809	40.5393	39.9814
Pbb-AGal_004-Ex1-12H-lcwgs-1-1.clmp.r1r2_fastp	58.3314	40.935700000000004	43.7596	40.8964	41.4877	40.1075	40.3962	41.650999999999996	42.0302	40.1621	45.6633	44.5187	43.825900000000004	42.9931	43.1903	42.7823	43.350699999999996	42.9471	43.361	43.1187	43.371300000000005	42.914	43.1278	42.5502	42.9003	42.498000000000005	42.7913	42.5784	42.9758	42.6985	43.1298	42.8471	42.998999999999995	42.6689	43.0121	42.606100000000005	42.8581	42.6303	42.808099999999996	42.5895	43.004	42.545899999999996	42.870999999999995	42.6667	42.747299999999996	42.4994	42.8456	42.4696	42.8536	42.6364	42.8166	42.6261	42.9166	42.5214	42.8574	42.667699999999996	42.781200000000005	42.544399999999996	42.8677	42.5673	42.828	42.632999999999996	42.7827	42.5676	42.8039	42.4444	42.6703	42.538599999999995	42.7037	42.4963	42.7886	42.5371	42.8135	42.6134	42.7331	42.4805	42.8073	42.5216	42.708800000000004	42.6363	42.841499999999996	42.5659	42.8039	42.498200000000004	42.7048	42.5584	42.712	42.5066	42.789100000000005	42.5231	42.8192	42.798199999999994	42.781200000000005	42.6833	42.8791	42.6148	42.7734	42.7066	42.7534	42.666399999999996	42.9542	42.7325	42.9744	42.9848	42.8498	42.8397	43.0355	42.7744	43.0486	43.040299999999995	43.0458	43.0078	43.2649	42.9797	43.2907	43.2025	43.0617	43.065999999999995	43.4178	43.1293	43.568200000000004	43.4368	43.5068	43.5032	43.7365	43.3602	43.683899999999994	43.6614	43.7793	43.634299999999996	44.000099999999996	43.7675	43.969500000000004	44.191	43.993700000000004	44.174400000000006	44.3015	44.1663	44.3209	44.5295	44.650600000000004	44.7783	45.115100000000005	44.7891	44.8621	45.2119	45.049	45.2735	45.5026	44.9239
Pbb-AGal_005-Ex1-1A-lcwgs-1-1.clmp.r1r2_fastp	64.07929999999999	56.347899999999996	52.014300000000006	52.3599	53.0571	52.61789999999999	52.488800000000005	54.2422	53.1695	52.6794	56.1953	55.5898	54.845200000000006	55.2543	54.147800000000004	54.668099999999995	55.019600000000004	54.4751	54.6377	55.3032	54.212700000000005	54.6237	54.8735	54.1933	54.3461	54.954	54.0789	54.5152	54.8984	54.2706	54.5914	55.111	54.175200000000004	54.5587	54.931799999999996	54.2389	54.4098	54.971199999999996	54.1698	54.5277	54.9304	54.1898	54.488800000000005	54.9307	54.1887	54.502300000000005	54.9172	54.158899999999996	54.424499999999995	54.886900000000004	54.0956	54.379599999999996	55.009	54.1651	54.4334	54.8407	54.1494	54.412499999999994	54.87649999999999	54.0471	54.3682	54.832800000000006	54.074299999999994	54.427400000000006	54.8461	53.9743	54.3288	54.7533	53.994	54.2465	54.8195	54.0111	54.3445	54.7059	54.0602	54.3488	54.867999999999995	54.0469	54.4167	54.86450000000001	54.1236	54.3983	55.0087	54.081900000000005	54.483599999999996	54.8757	54.187	54.4589	55.1235	54.130100000000006	54.6528	55.1399	54.2326	54.6098	55.277	54.2983	54.733	55.248	54.4042	54.8149	55.423100000000005	54.4222	54.9678	55.481899999999996	54.62519999999999	54.864900000000006	55.537400000000005	54.5628	54.9439	55.662	54.6987	55.1793	55.7731	54.6626	55.062999999999995	55.72820000000001	54.8699	55.08539999999999	55.796800000000005	54.8345	55.2596	55.7663	54.9526	55.2484	55.8894	54.888400000000004	55.321	55.96020000000001	54.989200000000004	55.5046	56.0957	55.1223	55.4426	56.104200000000006	55.25170000000001	55.5468	56.2213	55.2153	55.6523	56.2821	55.252599999999994	55.66179999999999	56.3145	55.3806	55.8975	56.3345	55.3013	55.98	56.5195	55.386500000000005
Pbb-AGal_006-Ex1-1B-lcwgs-1-1.clmp.r1r2_fastp	55.77530000000001	47.5792	46.7092	45.5891	46.3162	45.6462	45.4249	46.6685	46.7098	45.8383	49.2537	48.979299999999995	48.261199999999995	48.083999999999996	47.8975	47.8644	48.089999999999996	47.9199	48.1162	48.2121	48.140899999999995	48.0259	48.0433	47.8035	47.8651	47.8852	47.8293	47.8946	48.0821	47.935100000000006	48.094	48.146499999999996	47.980000000000004	47.9477	48.0193	47.9022	47.794599999999996	47.9177	47.7549	47.773900000000005	47.9344	47.679500000000004	47.775099999999995	47.8056	47.7219	47.5567	47.7664	47.537	47.6163	47.6231	47.5668	47.4734	47.6145	47.430099999999996	47.4474	47.546699999999994	47.3775	47.3382	47.5051	47.2784	47.3213	47.343	47.229	47.083999999999996	47.2097	46.9675	46.9731	47.0063	46.9329	46.9133	47.0098	46.8966	46.92	46.9557	46.8194	46.842800000000004	46.8273	46.623799999999996	46.6012	46.6031	46.5177	46.3994	46.5329	46.3892	46.3769	46.3816	46.4255	46.2752	46.4017	46.2037	46.2559	46.314	46.198	46.1681	46.1744	46.043299999999995	45.969500000000004	46.009899999999995	45.9656	45.9133	45.935500000000005	45.8386	45.8489	45.9516	45.8748	45.79	45.9565	45.7145	45.7641	45.8198	45.683800000000005	45.638600000000004	45.7483	45.518	45.569900000000004	45.586	45.4336	45.454499999999996	45.5955	45.5476	45.6382	45.5546	45.4636	45.495000000000005	45.6591	45.4252	45.4148	45.449	45.3986	45.364399999999996	45.609899999999996	45.3432	45.483000000000004	45.5801	45.4981	45.556000000000004	45.6784	45.5752	45.5516	45.693	45.492	45.7125	45.7584	45.584	45.6756	45.9526	45.547900000000006	45.6795	45.9364	45.483200000000004
Pbb-AGal_007-Ex1-1C-lcwgs-1-1.clmp.r1r2_fastp	56.52009999999999	47.727000000000004	47.1465	46.1357	46.9242	46.7022	46.3833	47.6639	47.7057	46.7745	50.319199999999995	49.7592	49.0066	48.709599999999995	48.678900000000006	48.503099999999996	48.796	48.5434	48.7839	48.7858	48.8607	48.6665	48.7513	48.488	48.5884	48.5167	48.5049	48.5054	48.7322	48.530499999999996	48.660599999999995	48.6623	48.6333	48.5164	48.6026	48.432900000000004	48.3703	48.4011	48.3193	48.2651	48.477199999999996	48.2337	48.334500000000006	48.367599999999996	48.3103	48.135	48.308099999999996	48.1281	48.186099999999996	48.134	48.1487	48.0675	48.193000000000005	48.0619	48.1016	48.1888	48.0325	47.976200000000006	48.1141	47.9773	48.0218	48.0553	47.9829	47.869099999999996	47.9114	47.8101	47.8063	47.8644	47.7532	47.7991	47.8255	47.7842	47.8098	47.8307	47.8131	47.7632	47.771	47.6653	47.6087	47.6539	47.6269	47.5569	47.6143	47.6018	47.5409	47.537099999999995	47.6301	47.5402	47.6374	47.477000000000004	47.5208	47.5381	47.5175	47.497299999999996	47.4239	47.4842	47.3365	47.3944	47.4145	47.3594	47.368700000000004	47.3655	47.410799999999995	47.4818	47.417300000000004	47.3975	47.4578	47.3296	47.3581	47.4327	47.321000000000005	47.328399999999995	47.4332	47.3545	47.2167	47.349799999999995	47.2872	47.369699999999995	47.352	47.3121	47.442099999999996	47.4884	47.3754	47.3379	47.346	47.3529	47.4028	47.5227	47.370000000000005	47.3139	47.5131	47.4926	47.525800000000004	47.4605	47.618100000000005	47.4736	47.6979	47.5255	47.4938	47.6827	47.7584	47.6849	47.685	47.73	47.7836	47.881800000000005	47.5983	47.8447	47.826299999999996	47.349799999999995
Pbb-AGal_008-Ex1-1D-lcwgs-1-1.clmp.r1r2_fastp	59.4317	50.699799999999996	49.5827	48.8268	49.6882	48.8924	48.964400000000005	50.556	50.1525	49.2812	52.9585	52.4818	51.791399999999996	51.7315	51.41759999999999	51.5131	51.86730000000001	51.5284	51.7653	52.03060000000001	51.7456	51.6949	51.9511	51.499399999999994	51.6108	51.8228	51.5282	51.669	52.004	51.6384	51.8444	52.058800000000005	51.673199999999994	51.7243	51.9885	51.5559	51.656	51.85340000000001	51.58239999999999	51.6172	51.91519999999999	51.458400000000005	51.6317	51.804300000000005	51.4617	51.464	51.7702	51.370099999999994	51.420100000000005	51.6301	51.299099999999996	51.321600000000004	51.6219	51.1739	51.29430000000001	51.539699999999996	51.0923	51.18430000000001	51.482499999999995	51.0155	51.1303	51.305800000000005	50.9266	50.895	51.229	50.7171	50.8483	51.0625	50.673	50.782700000000006	51.0203	50.65110000000001	50.8248	50.9952	50.6355	50.7416	51.0178	50.6095	50.665800000000004	50.950700000000005	50.5326	50.5845	50.971900000000005	50.4576	50.597	51.0208	50.5981	50.6892	51.088699999999996	50.604400000000005	50.8325	51.207800000000006	50.754900000000006	50.8962	51.28359999999999	50.7316	50.89660000000001	51.2859	50.80820000000001	50.9654	51.505	51.068599999999996	51.24530000000001	51.676100000000005	51.02179999999999	51.3158	51.8467	51.307100000000005	51.52369999999999	51.9298	51.417	51.6738	52.2603	51.5635	51.785199999999996	52.336000000000006	51.7336	51.88270000000001	52.5831	51.971999999999994	52.2459	52.973099999999995	52.198699999999995	52.3984	53.1725	52.36300000000001	52.562	53.2418	52.48500000000001	52.8071	53.5178	52.7749	53.0915	53.9237	53.209700000000005	53.517	54.184200000000004	53.2647	53.766999999999996	54.382299999999994	53.61	54.074999999999996	54.6372	53.816399999999994	54.254000000000005	55.0128	53.880300000000005	54.54259999999999	55.3282	54.3642
Pbb-AGal_009-Ex1-1E-lcwgs-1-1.clmp.r1r2_fastp	58.843500000000006	48.0486	48.2481	46.7147	47.809000000000005	46.8593	46.955000000000005	48.2268	48.2308	47.1327	51.1061	50.4343	49.830600000000004	49.525000000000006	49.5711	49.3737	49.7666	49.402	49.7534	49.7098	49.797000000000004	49.6141	49.7706	49.4052	49.5887	49.509	49.5256	49.4998	49.7671	49.5372	49.765	49.7434	49.6977	49.617	49.7458	49.507200000000005	49.5416	49.5676	49.4881	49.4362	49.6638	49.364599999999996	49.536	49.533	49.4416	49.2942	49.5025	49.2297	49.369600000000005	49.3068	49.284499999999994	49.201499999999996	49.358200000000004	49.134	49.2129	49.248999999999995	49.0991	49.0524	49.2027	48.971599999999995	49.0281	49.0251	48.9711	48.8329	48.911100000000005	48.6785	48.7246	48.6892	48.598400000000005	48.6019	48.6387	48.519600000000004	48.5831	48.5494	48.4508	48.4133	48.4377	48.2376	48.1828	48.2111	48.1327	48.0234	48.111399999999996	48.0192	47.9515	47.9513	47.9512	47.8279	47.8968	47.7065	47.7321	47.789500000000004	47.649	47.6016	47.6122	47.5216	47.4181	47.4503	47.3715	47.3577	47.3838	47.2301	47.2748	47.3183	47.214600000000004	47.1614	47.240300000000005	47.069100000000006	47.0878	47.1242	47.0203	46.9337	47.0191	46.8178	46.8422	46.872	46.7554	46.766000000000005	46.8352	46.7687	46.870400000000004	46.7749	46.6995	46.737	46.867999999999995	46.6221	46.611599999999996	46.650999999999996	46.554	46.4765	46.6059	46.495599999999996	46.5416	46.5894	46.5972	46.6899	46.7692	46.5681	46.6111	46.678599999999996	46.5664	46.6453	46.7187	46.6131	46.6916	46.8507	46.624500000000005	46.697100000000006	46.7849	46.4203
Pbb-AGal_010-Ex1-1F-lcwgs-1-1.clmp.r1r2_fastp	60.7441	50.0011	49.1828	48.1823	49.154599999999995	48.3401	48.3336	50.0543	49.5914	48.4544	52.837199999999996	52.0788	51.3401	51.1767	50.8319	50.9024	51.295	50.870400000000004	51.2034	51.4257	51.1174	51.0965	51.3421	50.794799999999995	51.0697	51.206399999999995	50.8718	51.042500000000004	51.41	51.038799999999995	51.308600000000006	51.4255	51.0715	51.1846	51.4216	51.0211	51.16030000000001	51.3234	50.976699999999994	51.130399999999995	51.449	50.9611	51.1908	51.2902	50.977	50.9929	51.273199999999996	50.8723	51.066599999999994	51.153000000000006	50.89320000000001	50.93299999999999	51.2053	50.689099999999996	50.9043	51.0343	50.686	50.7156	51.012299999999996	50.5528	50.741099999999996	50.8492	50.4953	50.5543	50.7959	50.332100000000004	50.4995	50.623799999999996	50.27740000000001	50.3967	50.6831	50.197	50.4159	50.5938	50.2018	50.316399999999994	50.53569999999999	50.0658	50.279799999999994	50.463100000000004	50.0801	50.1517	50.466	50.0337	50.2196	50.44499999999999	50.1422	50.22990000000001	50.501799999999996	50.0284	50.269200000000005	50.4841	50.1263	50.2549	50.5676	50.0942	50.325900000000004	50.537699999999994	50.1425	50.3175	50.6969	50.1413	50.4027	50.7297	50.23950000000001	50.4636	50.8347	50.2474	50.5202	50.8073	50.36580000000001	50.549699999999994	50.9746	50.3892	50.7478	51.0192	50.4741	50.680400000000006	51.11750000000001	50.6219	50.9016	51.2308	50.639500000000005	50.8848	51.4118	50.778	51.02719999999999	51.3602	50.8794	51.1484	51.5309	50.950799999999994	51.3031	51.6572	51.193200000000004	51.3984	51.8818	51.33259999999999	51.5706	52.016	51.468	51.7028	52.077799999999996	51.46340000000001	51.839400000000005	52.21249999999999	51.6028	51.9587	52.4188	51.572300000000006
