Sample	Unique Reads	Duplicate Reads
Pbb-AGal_001-Ex1-12E-lcwgs-1-1.1	303217.0	26757.0
Pbb-AGal_001-Ex1-12E-lcwgs-1-1.2	299943.0	30031.0
Pbb-AGal_002-Ex1-12F-lcwgs-1-1.1	2374207.0	789491.0
Pbb-AGal_002-Ex1-12F-lcwgs-1-1.2	2373836.0	789862.0
Pbb-AGal_003-Ex1-12G-lcwgs-1-1.1	4342625.0	901632.0
Pbb-AGal_003-Ex1-12G-lcwgs-1-1.2	4328000.0	916257.0
Pbb-AGal_004-Ex1-12H-lcwgs-1-1.1	2777617.0	574416.0
Pbb-AGal_004-Ex1-12H-lcwgs-1-1.2	2764962.0	587071.0
Pbb-AGal_005-Ex1-1A-lcwgs-1-1.1	1907700.0	1031775.0
Pbb-AGal_005-Ex1-1A-lcwgs-1-1.2	1928311.0	1011164.0
Pbb-AGal_006-Ex1-1B-lcwgs-1-1.1	18592554.0	4094288.0
Pbb-AGal_006-Ex1-1B-lcwgs-1-1.2	18691482.0	3995360.0
Pbb-AGal_007-Ex1-1C-lcwgs-1-1.1	17495797.0	2310850.0
Pbb-AGal_007-Ex1-1C-lcwgs-1-1.2	17572315.0	2234332.0
Pbb-AGal_008-Ex1-1D-lcwgs-1-1.1	3022397.0	5656950.0
Pbb-AGal_008-Ex1-1D-lcwgs-1-1.2	3016017.0	5663330.0
Pbb-AGal_009-Ex1-1E-lcwgs-1-1.1	31673421.0	6442043.0
Pbb-AGal_009-Ex1-1E-lcwgs-1-1.2	31754846.0	6360618.0
Pbb-AGal_010-Ex1-1F-lcwgs-1-1.1	6076957.0	2078868.0
Pbb-AGal_010-Ex1-1F-lcwgs-1-1.2	6066867.0	2088958.0
Pbb-AGal_011-Ex1-1G-lcwgs-1-1.1	63531794.0	11447572.0
Pbb-AGal_011-Ex1-1G-lcwgs-1-1.2	63737730.0	11241636.0
Pbb-AGal_012-Ex1-1H-lcwgs-1-1.1	240834.0	21400.0
Pbb-AGal_012-Ex1-1H-lcwgs-1-1.2	237642.0	24592.0
Pbb-AGal_013-Ex1-2A-lcwgs-1-1.1	18825.0	1275.0
Pbb-AGal_013-Ex1-2A-lcwgs-1-1.2	18550.0	1550.0
Pbb-AGal_014-Ex1-2B-lcwgs-1-1.1	43638.0	2694.0
Pbb-AGal_014-Ex1-2B-lcwgs-1-1.2	43061.0	3271.0
Pbb-AGal_015-Ex1-2C-lcwgs-1-1.1	43493.0	2175.0
Pbb-AGal_015-Ex1-2C-lcwgs-1-1.2	42903.0	2765.0
Pbb-AGal_016-Ex1-2D-lcwgs-1-1.1	46685.0	3940.0
Pbb-AGal_016-Ex1-2D-lcwgs-1-1.2	45977.0	4648.0
Pbb-AGal_017-Ex1-2E-lcwgs-1-1.1	88927.0	5537.0
Pbb-AGal_017-Ex1-2E-lcwgs-1-1.2	87784.0	6680.0
Pbb-AGal_018-Ex1-2F-lcwgs-1-1.1	19569.0	1170.0
Pbb-AGal_018-Ex1-2F-lcwgs-1-1.2	19252.0	1487.0
Pbb-AGal_019-Ex1-2G-lcwgs-1-1.1	75316.0	4770.0
Pbb-AGal_019-Ex1-2G-lcwgs-1-1.2	74275.0	5811.0
Pbb-AGal_020-Ex1-2H-lcwgs-1-1.1	30598254.0	6980011.0
Pbb-AGal_020-Ex1-2H-lcwgs-1-1.2	30627647.0	6950618.0
Pbb-AGal_021-Ex1-3A-lcwgs-1-1.1	10682758.0	5590819.0
Pbb-AGal_021-Ex1-3A-lcwgs-1-1.2	10794472.0	5479105.0
Pbb-AGal_022-Ex1-3B-lcwgs-1-1.1	15198936.0	4286284.0
Pbb-AGal_022-Ex1-3B-lcwgs-1-1.2	15223689.0	4261531.0
Pbb-AGal_023-Ex1-3C-lcwgs-1-1.1	69218597.0	13245002.0
Pbb-AGal_023-Ex1-3C-lcwgs-1-1.2	69262958.0	13200641.0
Pbb-AGal_024-Ex1-3D-lcwgs-1-1.1	52666594.0	14148495.0
Pbb-AGal_024-Ex1-3D-lcwgs-1-1.2	52756411.0	14058678.0
Pbb-AGal_025-Ex1-3E-lcwgs-1-1.1	72616088.0	21295353.0
Pbb-AGal_025-Ex1-3E-lcwgs-1-1.2	72975892.0	20935549.0
Pbb-AGal_026-Ex1-3F-lcwgs-1-1.1	31024956.0	6163840.0
Pbb-AGal_026-Ex1-3F-lcwgs-1-1.2	31068761.0	6120035.0
Pbb-AGal_027-Ex1-3G-lcwgs-1-1.1	24911153.0	5308577.0
Pbb-AGal_027-Ex1-3G-lcwgs-1-1.2	24910653.0	5309077.0
Pbb-AGal_028-Ex1-3H-lcwgs-1-1.1	33896857.0	6178660.0
Pbb-AGal_028-Ex1-3H-lcwgs-1-1.2	33949088.0	6126429.0
Pbb-AGal_029-Ex1-4A-lcwgs-1-1.1	24757194.0	5924587.0
Pbb-AGal_029-Ex1-4A-lcwgs-1-1.2	24832275.0	5849506.0
Pbb-AGal_030-Ex1-4B-lcwgs-1-1.1	53210184.0	13027721.0
Pbb-AGal_030-Ex1-4B-lcwgs-1-1.2	53373293.0	12864612.0
Pbb-AGal_031-Ex1-4C-lcwgs-1-1.1	9907218.0	1096665.0
Pbb-AGal_031-Ex1-4C-lcwgs-1-1.2	9926504.0	1077379.0
Pbb-AGal_032-Ex1-4D-lcwgs-1-1.1	32362285.0	3591665.0
Pbb-AGal_032-Ex1-4D-lcwgs-1-1.2	32399393.0	3554557.0
Pbb-AGal_033-Ex1-4E-lcwgs-1-1.1	60444700.0	8430450.0
Pbb-AGal_033-Ex1-4E-lcwgs-1-1.2	60450578.0	8424572.0
Pbb-AGal_034-Ex1-4F-lcwgs-1-1.1	27075862.0	11124889.0
Pbb-AGal_034-Ex1-4F-lcwgs-1-1.2	26834038.0	11366713.0
Pbb-AGal_035-Ex1-4G-lcwgs-1-1.1	23466794.0	9584046.0
