#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2741619	2585275	94.30	88887	3.24	24381	0.89	1911	0.07	41165	1.50
Ecoli	2741619	2740845	99.97	0	0.00	0	0.00	203	0.01	571	0.02
PhiX	2741619	2741619	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2741619	2741565	100.00	0	0.00	0	0.00	2	0.00	52	0.00
Vectors	2741619	2739785	99.94	0	0.00	0	0.00	130	0.00	1704	0.06
Bacteria_24k	2741619	2024207	73.83	133088	4.85	306405	11.18	21986	0.80	255933	9.34
Protists_1k	2741619	2397179	87.44	26978	0.98	9489	0.35	129263	4.71	178710	6.52
Viruses	2741619	2729943	99.58	405	0.01	109	0.00	3852	0.14	7310	0.27
Fungi_RefSeq_release	2741619	2709256	98.82	2149	0.08	634	0.02	8957	0.33	20623	0.75
Coral	2741619	2727745	99.49	12	0.00	2	0.00	1055	0.04	12805	0.47
Bird	2741619	2734112	99.72	27	0.00	14	0.00	1291	0.05	6175	0.23
Plant	2741619	2735578	99.78	39	0.00	40	0.00	734	0.03	5228	0.19

%Hit_no_genomes: 67.08
