#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	146712	143819	98.04	241	0.16	95	0.06	335	0.23	2222	1.51
Ecoli	146712	146710	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	146712	146712	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	146712	146693	99.99	0	0.00	0	0.00	0	0.00	19	0.01
Vectors	146712	146436	99.81	0	0.00	0	0.00	15	0.01	261	0.18
Bacteria_24k	146712	144195	98.29	278	0.19	563	0.38	188	0.13	1488	1.01
Protists_1k	146712	141294	96.31	513	0.35	1252	0.85	267	0.18	3386	2.31
Viruses	146712	145476	99.16	12	0.01	4	0.00	143	0.10	1077	0.73
Fungi_RefSeq_release	146712	143859	98.06	80	0.05	47	0.03	414	0.28	2312	1.58
Coral	146712	145323	99.06	5	0.00	2	0.00	196	0.13	1186	0.81
Bird	146712	144935	98.79	50	0.03	15	0.01	320	0.22	1392	0.95
Plant	146712	145244	99.00	14	0.01	2	0.00	192	0.13	1260	0.86

%Hit_no_genomes: 95.26
