#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	94470	91779	97.15	399	0.42	104	0.11	206	0.22	1982	2.10
Ecoli	94470	94468	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	94470	94470	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	94470	94464	99.99	0	0.00	0	0.00	0	0.00	6	0.01
Vectors	94470	94111	99.62	1	0.00	0	0.00	15	0.02	343	0.36
Bacteria_24k	94470	91240	96.58	455	0.48	953	1.01	163	0.17	1659	1.76
Protists_1k	94470	90131	95.41	358	0.38	689	0.73	379	0.40	2913	3.08
Viruses	94470	93307	98.77	6	0.01	4	0.00	114	0.12	1039	1.10
Fungi_RefSeq_release	94470	92180	97.57	64	0.07	25	0.03	262	0.28	1939	2.05
Coral	94470	93326	98.80	4	0.00	2	0.00	116	0.12	1022	1.08
Bird	94470	92942	98.38	24	0.03	5	0.01	278	0.29	1221	1.29
Plant	94470	93210	98.68	4	0.00	1	0.00	127	0.13	1128	1.19

%Hit_no_genomes: 93.16
