#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	674637	661611	98.07	951	0.14	316	0.05	1648	0.24	10111	1.50
Ecoli	674637	674631	100.00	0	0.00	0	0.00	0	0.00	6	0.00
PhiX	674637	674637	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	674637	674627	100.00	0	0.00	0	0.00	0	0.00	10	0.00
Vectors	674637	673757	99.87	1	0.00	0	0.00	41	0.01	838	0.12
Bacteria_24k	674637	666397	98.77	507	0.08	1540	0.23	740	0.11	5453	0.81
Protists_1k	674637	649683	96.30	2402	0.36	6495	0.96	824	0.12	15233	2.26
Viruses	674637	669535	99.24	67	0.01	9	0.00	600	0.09	4426	0.66
Fungi_RefSeq_release	674637	661259	98.01	374	0.06	213	0.03	1872	0.28	10919	1.62
Coral	674637	668765	99.13	37	0.01	10	0.00	867	0.13	4958	0.73
Bird	674637	666751	98.83	256	0.04	49	0.01	1449	0.21	6132	0.91
Plant	674637	668289	99.06	47	0.01	14	0.00	869	0.13	5418	0.80

%Hit_no_genomes: 95.57
