Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Pli-AMvi_004-Ex1-1A-lcwgs-X-1.clmp.r1r2_fastp	2.62667	0.936107	46041868.0	0.509535	96.7503605346191	2.5832344393881344
Pli-AMvi_005-Ex1-2A-lcwgs-X-1.clmp.r1r2_fastp	0.256027	0.919486	752089.0	0.448611	96.54517843583903	1.8033409263477602
Pli-AMvi_006-Ex1-3A-lcwgs-X-1.clmp.r1r2_fastp	0.162187	0.920686	632655.0	0.431572	97.42289818335446	2.1123785382340516
Pli-AMvi_007-Ex1-4A-lcwgs-X-1.clmp.r1r2_fastp	1.05614	0.959376	12555978.0	0.401379	98.7456548142564	1.6354650919294718
Pli-AMvi_008-Ex1-1B-lcwgs-X-1.clmp.r1r2_fastp	1.5250700000000001	0.957309	40339604.0	0.418801	96.07527842296469	3.130149087804975
Pli-AMvi_009-Ex1-2B-lcwgs-X-1.clmp.r1r2_fastp	0.24602600000000002	0.919728	828243.0	0.448363	96.73565539289922	2.1033148241628807
Pli-AMvi_010-Ex1-7A-lcwgs-X-1.clmp.r1r2_fastp	2.44653	0.942763	163263041.0	0.465501	98.72749483726477	1.284139495651668
Pli-AMvi_011-Ex1-8A-lcwgs-X-1.clmp.r1r2_fastp	3.60865	0.938733	242961137.0	0.467795	98.51230383911881	1.2515507284661915
Pli-AMvi_012-Ex1-9A-lcwgs-X-1.clmp.r1r2_fastp	3.14917	0.945203	120382965.0	0.445747	98.71941732189381	1.3051293440455503
Pli-AMvi_013-Ex1-10A-lcwgs-X-1.clmp.r1r2_fastp	1.21137	0.957308	34846417.0	0.391103	97.80563530617094	2.315321597332326
Pli-AMvi_014-Ex1-11A-lcwgs-X-1.clmp.r1r2_fastp	2.5872200000000003	0.949395	23579973.0	0.454747	84.93190439667502	9.743009058684521
Pli-AMvi_015-Ex1-12A-lcwgs-X-1.clmp.r1r2_fastp	0.8379889999999999	0.910304	127448.0	0.480994	93.86084583901774	1.9099590723055935
Pli-AMvi_016-Ex1-3B-lcwgs-X-1.clmp.r1r2_fastp	0.676218	0.962255	13845871.0	0.422986	99.10783338857586	1.5753323757964128
Pli-AMvi_017-Ex1-4B-lcwgs-X-1.clmp.r1r2_fastp	0.6757540000000001	0.957608	7408415.0	0.412824	98.67220894618156	1.5179563124768602
Pli-AMvi_018-Ex1-1C-lcwgs-X-1.clmp.r1r2_fastp	0.777374	0.94708	4880524.0	0.442407	98.1681847919078	1.625484374213678
Pli-AMvi_019-Ex1-2C-lcwgs-X-1.clmp.r1r2_fastp	0.376963	0.94812	2536319.0	0.438262	98.39988868790871	1.753165437595659
Pli-AMvi_020-Ex1-3C-lcwgs-X-1.clmp.r1r2_fastp	0.41036400000000006	0.944323	1635530.0	0.442338	95.12282460789228	3.8566210699706365
Pli-AMvi_021-Ex1-4C-lcwgs-X-1.clmp.r1r2_fastp	0.532366	0.968235	27546185.0	0.427267	98.66754803894668	2.316720297338422
Pli-AMvi_022-Ex1-7B-lcwgs-X-1.clmp.r1r2_fastp	6.924370000000001	0.91821	385659695.0	0.515697	97.4041104418651	0.9177982933586672
Pli-AMvi_023-Ex1-8B-lcwgs-X-1.clmp.r1r2_fastp	1.9141100000000002	0.948354	88887802.0	0.448512	98.76715464340894	1.3760742164489341
Pli-AMvi_024-Ex1-9B-lcwgs-X-1.clmp.r1r2_fastp	8.93613	0.923535	210491349.0	0.500493	97.83303685199904	0.9063497470446488
Pli-AMvi_025-Ex1-10B-lcwgs-X-1.clmp.r1r2_fastp	0.814478	0.956168	13265032.0	0.399357	98.6591943689989	1.515818063578287
Pli-AMvi_026-Ex1-11B-lcwgs-X-1.clmp.r1r2_fastp	1.0496999999999999	0.961604	272733668.0	0.415508	99.080380666922	1.6257862057563162
Pli-AMvi_027-Ex1-12B-lcwgs-X-1.clmp.r1r2_fastp	0.162866	0.908859	212812.0	0.479362	94.85116653258247	2.091713596138375
Pli-AMvi_028-Ex1-1D-lcwgs-X-1.clmp.r1r2_fastp	0.33999199999999996	0.922023	733002.0	0.46301	97.78810408921933	1.7843866171003717
Pli-AMvi_029-Ex1-2D-lcwgs-X-1.clmp.r1r2_fastp	0.8662329999999999	0.959248	83572340.0	0.418885	98.76378770211561	1.7157183609721645
Pli-AMvi_030-Ex1-3D-lcwgs-X-1.clmp.r1r2_fastp	0.554014	0.963569	14536594.0	0.433393	97.39432993712066	2.7496060289276185
Pli-AMvi_031-Ex1-4D-lcwgs-X-1.clmp.r1r2_fastp	0.503583	0.918566	865270.0	0.45553	97.07701824930405	1.6702752861119705
Pli-AMvi_032-Ex1-5C-lcwgs-X-1.clmp.r1r2_fastp	0.844225	0.963147	95776103.0	0.423837	99.16261800371292	1.7033668258891057
Pli-AMvi_033-Ex1-6C-lcwgs-X-1.clmp.r1r2_fastp	0.713189	0.965819	125739176.0	0.437393	99.2569307817934	1.8141763107922246
Pli-AMvi_034-Ex1-7C-lcwgs-X-1.clmp.r1r2_fastp	0.30776000000000003	0.928332	666163.0	0.455315	97.36946202531645	1.7800632911392407
Pli-AMvi_035-Ex1-8C-lcwgs-X-1.clmp.r1r2_fastp	0.451341	0.960774	2451437.0	0.423422	99.09790143386194	1.6095337574779223
Pli-AMvi_036-Ex1-9C-lcwgs-X-1.clmp.r1r2_fastp	12.72	0.914084	535343624.0	0.478326	97.32734910852606	0.681617989017115
Pli-AMvi_037-Ex1-10C-lcwgs-X-1.clmp.r1r2_fastp	1.02209	0.959987	92804045.0	0.385828	98.97123959295674	1.7170330615948266
Pli-AMvi_038-Ex1-11C-lcwgs-X-1.clmp.r1r2_fastp	1.10914	0.954434	40725269.0	0.436297	98.60780269115571	1.709273439046664
Pli-AMvi_039-Ex1-12C-lcwgs-X-1.clmp.r1r2_fastp	17.494699999999998	0.89861	80678142.0	0.574205	96.2609054450787	0.16385997096828775
Pli-AMvi_040-Ex1-5A-lcwgs-X-1.clmp.r1r2_fastp	3.13089	0.940942	243965622.0	0.466812	98.6260904003936	1.2274681207380052
Pli-AMvi_041-Ex1-6A-lcwgs-X-1.clmp.r1r2_fastp	2.10771	0.950554	319150311.0	0.435662	98.87882502085007	1.3796872059375653
Pli-AMvi_042-Ex1-5B-lcwgs-X-1.clmp.r1r2_fastp	0.287947	0.914372	398211.0	0.448703	96.73469387755102	1.4471243042671615
Pli-AMvi_043-Ex1-6B-lcwgs-X-1.clmp.r1r2_fastp	3.71673	0.937723	217783984.0	0.500911	98.53670924887402	1.0981455486120844
Pli-AMvi_044-Ex1-5D-lcwgs-X-1.clmp.r1r2_fastp	0.510761	0.965526	8692201.0	0.444424	99.26435501829172	1.623720905572345
Pli-AMvi_045-Ex1-6D-lcwgs-X-1.clmp.r1r2_fastp	0.66585	0.949177	2516888.0	0.463997	98.07364931457755	1.5366006630230264
Pli-AMvi_046-Ex1-1E-lcwgs-X-1.clmp.r1r2_fastp	1.4382000000000001	0.951324	64440202.0	0.452096	98.97654297298443	1.3561366303917146
Pli-AMvi_047-Ex1-2E-lcwgs-X-1.clmp.r1r2_fastp	0.7525419999999999	0.962371	12674617.0	0.406302	97.76793236398957	2.39263378034155
Pli-AMvi_048-Ex1-3E-lcwgs-X-1.clmp.r1r2_fastp	0.114068	0.924232	772093.0	0.426132	97.89886039886039	1.46011396011396
Pli-AMvi_049-Ex1-4E-lcwgs-X-1.clmp.r1r2_fastp	0.375299	0.911795	485857.0	0.447211	97.53199268738574	1.6758074344911638
Pli-AMvi_050-Ex1-5E-lcwgs-X-1.clmp.r1r2_fastp	0.10632599999999999	0.908669	312654.0	0.441198	97.0048309178744	1.2077294685990339
Pli-AMvi_051-Ex1-6E-lcwgs-X-1.clmp.r1r2_fastp	0.897623	0.940533	1127832.0	0.467091	97.94612447104964	1.6719991743213956
Pli-AMvi_052-Ex1-7D-lcwgs-X-1.clmp.r1r2_fastp	0.769286	0.96126	49079082.0	0.426605	98.95535540458845	1.7063211500824855
Pli-AMvi_053-Ex1-8D-lcwgs-X-1.clmp.r1r2_fastp	0.38910500000000003	0.911761	458522.0	0.436555	96.97452229299363	1.6878980891719746
Pli-AMvi_054-Ex1-9D-lcwgs-X-1.clmp.r1r2_fastp	0.47967499999999996	0.959372	4861176.0	0.443621	96.94200051251389	3.1498248910908
Pli-AMvi_055-Ex1-10D-lcwgs-X-1.clmp.r1r2_fastp	0.525876	0.961417	11861371.0	0.417939	97.58447201417873	2.645169896899358
Pli-AMvi_056-Ex1-11D-lcwgs-X-1.clmp.r1r2_fastp	0.226941	0.920899	982725.0	0.432717	97.64775066157013	1.925904145839459
Pli-AMvi_057-Ex1-12D-lcwgs-X-1.clmp.r1r2_fastp	0.44843	0.911819	168288.0	0.481055	95.48458149779736	1.3215859030837005
Pli-AMvi_058-Ex1-1F-lcwgs-X-1.clmp.r1r2_fastp	16.5498	0.898474	220701109.0	0.579277	96.33327437293458	0.20513904587694246
Pli-AMvi_059-Ex1-2F-lcwgs-X-1.clmp.r1r2_fastp	0.22539399999999998	0.921613	830793.0	0.443345	97.6020851433536	1.4769765421372718
Pli-AMvi_060-Ex1-3F-lcwgs-X-1.clmp.r1r2_fastp	0.20892699999999997	0.926251	766360.0	0.430915	98.08996786861836	1.9457336665476617
Pli-AMvi_061-Ex1-4F-lcwgs-X-1.clmp.r1r2_fastp	0.236247	0.91058	499110.0	0.450202	97.5551580202743	1.8783542039355994
Pli-AMvi_062-Ex1-5F-lcwgs-X-1.clmp.r1r2_fastp	0.31194299999999997	0.910014	379302.0	0.449472	97.38430583501007	1.7706237424547282
Pli-AMvi_063-Ex1-6F-lcwgs-X-1.clmp.r1r2_fastp	0.564392	0.939537	1027529.0	0.456992	98.15204160672789	1.5934491534801372
Pli-AMvi_064-Ex1-7E-lcwgs-X-1.clmp.r1r2_fastp	0.758903	0.9618	13409000.0	0.424325	99.06672665141522	1.5956581252213533
Pli-AMvi_065-Ex1-8E-lcwgs-X-1.clmp.r1r2_fastp	0.693985	0.962694	7638535.0	0.395215	99.21709933666367	1.6591597739742854
Pli-AMvi_066-Ex1-9E-lcwgs-X-1.clmp.r1r2_fastp	0.539707	0.916418	438572.0	0.43915	97.8776087725504	1.4149274849663955
Pli-AMvi_067-Ex1-10E-lcwgs-X-1.clmp.r1r2_fastp	0.611354	0.952303	3177956.0	0.431241	96.84036132696934	2.9643801033489803
Pli-AMvi_068-Ex1-1E-lcwgs-X-1.clmp.r1r2_fastp	0.666349	0.903934	396349.0	0.457884	96.79101484155636	0.7220216606498195
Pli-AMvi_069-Ex1-12E-lcwgs-X-1.clmp.r1r2_fastp	11.6814	0.901983	129585310.0	0.59637	96.8879585741247	0.1413104465825731
Pli-AMvi_070-Ex1-1G-lcwgs-X-1.clmp.r1r2_fastp	19.4435	0.896551	336267103.0	0.57301	96.2413209162664	0.29506598179089716
Pli-AMvi_071-Ex1-2G-lcwgs-X-1.clmp.r1r2_fastp	21.584	0.895277	297299585.0	0.565482	96.14908767067487	0.189454599186112
Pli-AMvi_072-Ex1-3G-lcwgs-X-1.clmp.r1r2_fastp	0.187753	0.926267	1000184.0	0.429848	97.96982167352539	2.263374485596708
Pli-AMvi_073-Ex1-4G-lcwgs-X-1.clmp.r1r2_fastp	0.43279	0.934646	1084144.0	0.453099	98.30255763275605	1.8809496501892418
Pli-AMvi_074-Ex1-5G-lcwgs-X-1.clmp.r1r2_fastp	0.484027	0.915449	505001.0	0.44691	97.65554553651938	1.9837691614066726
Pli-AMvi_075-Ex1-6G-lcwgs-X-1.clmp.r1r2_fastp	5.08895	0.930924	81154774.0	0.504815	97.66605291125622	1.494115383101462
Pli-AMvi_076-Ex1-7F-lcwgs-X-1.clmp.r1r2_fastp	0.54984	0.960354	4239979.0	0.46131	99.03265113271827	1.5865516126625716
Pli-AMvi_077-Ex1-8F-lcwgs-X-1.clmp.r1r2_fastp	0.425144	0.924483	481125.0	0.448682	97.87408013082583	1.8806214227309894
Pli-AMvi_078-Ex1-9F-lcwgs-X-1.clmp.r1r2_fastp	0.3003	0.91362	443327.0	0.444626	97.68246281563474	1.6257350397786234
Pli-AMvi_079-Ex1-10F-lcwgs-X-1.clmp.r1r2_fastp	0.7928299999999999	0.91014	501891.0	0.446279	97.8267716535433	1.5118110236220472
Pli-AMvi_080-Ex1-11F-lcwgs-X-1.clmp.r1r2_fastp	0.366166	0.924947	845180.0	0.429179	97.7600543017139	1.9684371287968776
Pli-AMvi_081-Ex1-12F-lcwgs-X-1.clmp.r1r2_fastp	11.6991	0.896181	56165912.0	0.564736	96.42249384529002	0.1291409320606401
Pli-AMvi_082-Ex1-1H-lcwgs-X-1.clmp.r1r2_fastp	1.68195	0.951398	282248638.0	0.464091	98.8332516799661	1.6902247017574807
Pli-AMvi_083-Ex1-2H-lcwgs-X-1.clmp.r1r2_fastp	0.601052	0.966987	267661133.0	0.412032	99.22810521946663	1.8265106706789804
