#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	728045	688433	94.56	733	0.10	158	0.02	2028	0.28	36693	5.04
Ecoli	728045	728020	100.00	0	0.00	0	0.00	7	0.00	18	0.00
PhiX	728045	728045	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	728045	727776	99.96	0	0.00	0	0.00	0	0.00	269	0.04
Vectors	728045	721078	99.05	0	0.00	2	0.00	107	0.01	6858	0.94
Bacteria_24k	728045	685299	94.12	4232	0.58	5871	0.81	1640	0.23	31003	4.26
Protists_1k	728045	677051	92.99	2393	0.33	3587	0.49	2815	0.39	42199	5.80
Viruses	728045	699346	96.06	21	0.00	12	0.00	1220	0.17	27446	3.77
Fungi_RefSeq_release	728045	688821	94.61	426	0.06	82	0.01	2263	0.31	36453	5.01
Coral	728045	697584	95.82	103	0.01	101	0.01	1857	0.26	28400	3.90
Bird	728045	695148	95.49	241	0.03	68	0.01	2354	0.32	30234	4.15
Plant	728045	695417	95.52	76	0.01	11	0.00	1614	0.22	30927	4.25

%Hit_no_genomes: 91.24
