#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	222946	222228	99.67	269	0.12	62	0.03	15	0.01	372	0.17
Ecoli	222946	222873	99.97	0	0.00	0	0.00	10	0.00	63	0.03
PhiX	222946	222946	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	222946	222944	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Vectors	222946	222890	99.97	0	0.00	0	0.00	0	0.00	56	0.03
Bacteria_24k	222946	148236	66.48	23872	10.71	27079	12.15	2278	1.02	21481	9.64
Protists_1k	222946	195547	87.71	2630	1.18	942	0.42	12819	5.75	11008	4.94
Viruses	222946	222373	99.75	17	0.01	9	0.00	114	0.05	433	0.19
Fungi_RefSeq_release	222946	222020	99.59	53	0.02	6	0.00	376	0.17	491	0.22
Coral	222946	222664	99.88	0	0.00	0	0.00	29	0.01	253	0.11
Bird	222946	222658	99.87	0	0.00	0	0.00	13	0.01	275	0.12
Plant	222946	222635	99.86	2	0.00	0	0.00	22	0.01	287	0.13

%Hit_no_genomes: 64.63
