#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	969205	921551	95.08	925	0.10	266	0.03	3023	0.31	43440	4.48
Ecoli	969205	969143	99.99	0	0.00	0	0.00	13	0.00	49	0.01
PhiX	969205	969205	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	969205	968870	99.97	0	0.00	0	0.00	13	0.00	322	0.03
Vectors	969205	963040	99.36	11	0.00	4	0.00	78	0.01	6072	0.63
Bacteria_24k	969205	901330	93.00	10343	1.07	15439	1.59	2649	0.27	39444	4.07
Protists_1k	969205	900867	92.96	3882	0.40	5078	0.52	6429	0.66	52949	5.46
Viruses	969205	937011	96.68	47	0.00	35	0.00	1704	0.18	30408	3.14
Fungi_RefSeq_release	969205	922525	95.18	592	0.06	110	0.01	3345	0.35	42633	4.40
Coral	969205	934068	96.37	176	0.02	180	0.02	2493	0.26	32288	3.33
Bird	969205	930442	96.01	331	0.03	102	0.01	3147	0.32	35183	3.63
Plant	969205	931965	96.15	94	0.01	13	0.00	2087	0.22	35046	3.62

%Hit_no_genomes: 89.89
