#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	4031334	3789219	94.00	3744	0.09	1242	0.03	14134	0.35	222995	5.53
Ecoli	4031334	4031329	100.00	0	0.00	0	0.00	3	0.00	2	0.00
PhiX	4031334	4031334	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	4031334	4030483	99.98	0	0.00	0	0.00	1	0.00	850	0.02
Vectors	4031334	3952937	98.05	13	0.00	3	0.00	1483	0.04	76898	1.91
Bacteria_24k	4031334	3867781	95.95	1777	0.04	2869	0.07	9822	0.24	149085	3.70
Protists_1k	4031334	3741122	92.80	13948	0.35	24387	0.60	7355	0.18	244522	6.07
Viruses	4031334	3866433	95.92	148	0.00	48	0.00	7780	0.19	156925	3.89
Fungi_RefSeq_release	4031334	3794254	94.12	2326	0.06	811	0.02	15007	0.37	218936	5.43
Coral	4031334	3855737	95.64	1235	0.03	1113	0.03	13354	0.33	159895	3.97
Bird	4031334	3835490	95.14	1524	0.04	359	0.01	15641	0.39	178320	4.42
Plant	4031334	3836168	95.17	576	0.01	170	0.00	11857	0.29	182563	4.53

%Hit_no_genomes: 92.14
