#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	60941	57525	94.39	54	0.09	20	0.03	188	0.31	3154	5.18
Ecoli	60941	60941	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	60941	60941	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	60941	60941	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	60941	59688	97.94	0	0.00	0	0.00	16	0.03	1237	2.03
Bacteria_24k	60941	58648	96.24	27	0.04	38	0.06	144	0.24	2084	3.42
Protists_1k	60941	56934	93.43	182	0.30	326	0.53	88	0.14	3411	5.60
Viruses	60941	58605	96.17	0	0.00	0	0.00	110	0.18	2226	3.65
Fungi_RefSeq_release	60941	57634	94.58	40	0.07	15	0.02	198	0.32	3054	5.01
Coral	60941	58413	95.86	18	0.03	15	0.02	209	0.34	2286	3.75
Bird	60941	58131	95.39	25	0.04	6	0.01	212	0.35	2567	4.21
Plant	60941	58208	95.52	7	0.01	2	0.00	162	0.27	2562	4.20

%Hit_no_genomes: 92.76
