#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	991551	972880	98.11	859	0.09	177	0.02	1670	0.17	15965	1.61
Ecoli	991551	991542	100.00	0	0.00	0	0.00	1	0.00	8	0.00
PhiX	991551	991551	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	991551	991534	100.00	0	0.00	0	0.00	0	0.00	17	0.00
Vectors	991551	989652	99.81	0	0.00	0	0.00	75	0.01	1824	0.18
Bacteria_24k	991551	978591	98.69	1167	0.12	1248	0.13	984	0.10	9561	0.96
Protists_1k	991551	963250	97.14	3349	0.34	4156	0.42	1262	0.13	19534	1.97
Viruses	991551	982574	99.10	32	0.00	5	0.00	1366	0.14	7574	0.76
Fungi_RefSeq_release	991551	973383	98.17	511	0.05	142	0.01	1792	0.18	15723	1.59
Coral	991551	981169	98.96	88	0.01	18	0.00	1239	0.12	9037	0.91
Bird	991551	977168	98.54	371	0.04	68	0.01	2053	0.21	11891	1.20
Plant	991551	982009	99.03	100	0.01	12	0.00	1240	0.13	8190	0.83

%Hit_no_genomes: 96.58
