#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1478694	1449257	98.01	932	0.06	232	0.02	2249	0.15	26024	1.76
Ecoli	1478694	1478694	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	1478694	1478694	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1478694	1478690	100.00	0	0.00	0	0.00	0	0.00	4	0.00
Vectors	1478694	1475506	99.78	2	0.00	0	0.00	96	0.01	3090	0.21
Bacteria_24k	1478694	1461771	98.85	347	0.02	429	0.03	1269	0.09	14878	1.01
Protists_1k	1478694	1434991	97.05	3398	0.23	7268	0.49	947	0.06	32090	2.17
Viruses	1478694	1464263	99.03	42	0.00	19	0.00	2089	0.14	12281	0.83
Fungi_RefSeq_release	1478694	1449394	98.03	639	0.04	311	0.02	2572	0.17	25778	1.74
Coral	1478694	1463716	98.98	86	0.01	29	0.00	1593	0.11	13270	0.90
Bird	1478694	1456163	98.48	624	0.04	154	0.01	3208	0.22	18545	1.25
Plant	1478694	1463206	98.96	103	0.01	20	0.00	1845	0.12	13520	0.91

%Hit_no_genomes: 96.70
