#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1087877	1062269	97.64	835	0.08	188	0.02	2189	0.20	22396	2.06
Ecoli	1087877	1087876	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	1087877	1087877	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1087877	1087873	100.00	0	0.00	0	0.00	1	0.00	3	0.00
Vectors	1087877	1085979	99.82	1	0.00	0	0.00	96	0.01	1801	0.17
Bacteria_24k	1087877	1072873	98.62	206	0.02	217	0.02	1271	0.12	13310	1.22
Protists_1k	1087877	1047885	96.32	3576	0.33	7364	0.68	1002	0.09	28050	2.58
Viruses	1087877	1075017	98.82	41	0.00	10	0.00	1762	0.16	11047	1.02
Fungi_RefSeq_release	1087877	1061986	97.62	666	0.06	269	0.02	2466	0.23	22490	2.07
Coral	1087877	1073316	98.66	98	0.01	39	0.00	1587	0.15	12837	1.18
Bird	1087877	1068064	98.18	475	0.04	97	0.01	2886	0.27	16355	1.50
Plant	1087877	1074099	98.74	105	0.01	20	0.00	1676	0.15	11977	1.10

%Hit_no_genomes: 95.93
