#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2211139	2168092	98.06	3828	0.17	959	0.04	3018	0.14	35242	1.59
Ecoli	2211139	2210300	99.96	0	0.00	0	0.00	144	0.01	695	0.03
PhiX	2211139	2211139	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2211139	2211134	100.00	0	0.00	0	0.00	0	0.00	5	0.00
Vectors	2211139	2206871	99.81	3	0.00	0	0.00	197	0.01	4068	0.18
Bacteria_24k	2211139	1877901	84.92	85471	3.87	155245	7.02	9199	0.42	83323	3.77
Protists_1k	2211139	2067153	93.50	15802	0.71	15716	0.71	39636	1.79	72832	3.29
Viruses	2211139	2189926	99.04	184	0.01	72	0.00	3220	0.15	17737	0.80
Fungi_RefSeq_release	2211139	2169757	98.13	1632	0.07	335	0.02	4932	0.22	34483	1.56
Coral	2211139	2188495	98.97	148	0.01	43	0.00	2357	0.11	20096	0.91
Bird	2211139	2179958	98.59	662	0.03	139	0.01	3966	0.18	26414	1.19
Plant	2211139	2189043	99.00	168	0.01	29	0.00	2859	0.13	19040	0.86

%Hit_no_genomes: 82.14
