#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	369154	365775	99.08	465	0.13	110	0.03	356	0.10	2448	0.66
Ecoli	369154	369141	100.00	0	0.00	0	0.00	1	0.00	12	0.00
PhiX	369154	369154	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	369154	369143	100.00	0	0.00	0	0.00	3	0.00	8	0.00
Vectors	369154	368526	99.83	0	0.00	0	0.00	18	0.00	610	0.17
Bacteria_24k	369154	358141	97.02	2855	0.77	3733	1.01	453	0.12	3972	1.08
Protists_1k	369154	359426	97.36	2724	0.74	985	0.27	1742	0.47	4277	1.16
Viruses	369154	367510	99.56	11	0.00	1	0.00	161	0.04	1471	0.40
Fungi_RefSeq_release	369154	366000	99.14	245	0.07	23	0.01	442	0.12	2444	0.66
Coral	369154	367276	99.50	17	0.00	5	0.00	233	0.06	1623	0.44
Bird	369154	366890	99.39	81	0.02	17	0.00	325	0.09	1841	0.50
Plant	369154	367150	99.47	53	0.01	17	0.00	236	0.06	1698	0.46

%Hit_no_genomes: 95.25
