#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	577930	571678	98.93	1059	0.18	242	0.04	606	0.10	4345	0.75
Ecoli	577930	577909	100.00	0	0.00	0	0.00	4	0.00	17	0.00
PhiX	577930	577930	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	577930	577917	100.00	0	0.00	0	0.00	2	0.00	11	0.00
Vectors	577930	576948	99.83	0	0.00	0	0.00	21	0.00	961	0.17
Bacteria_24k	577930	562052	97.24	3963	0.69	5298	0.92	684	0.12	5933	1.03
Protists_1k	577930	562777	97.37	3969	0.69	1652	0.29	2487	0.43	7045	1.22
Viruses	577930	575150	99.52	15	0.00	8	0.00	271	0.05	2486	0.43
Fungi_RefSeq_release	577930	572649	99.09	339	0.06	51	0.01	759	0.13	4132	0.71
Coral	577930	574819	99.46	38	0.01	6	0.00	392	0.07	2675	0.46
Bird	577930	574167	99.35	113	0.02	28	0.00	575	0.10	3047	0.53
Plant	577930	574687	99.44	63	0.01	11	0.00	354	0.06	2815	0.49

%Hit_no_genomes: 95.38
