#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1227654	1213830	98.87	1056	0.09	267	0.02	1307	0.11	11194	0.91
Ecoli	1227654	1227642	100.00	0	0.00	0	0.00	3	0.00	9	0.00
PhiX	1227654	1227654	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1227654	1227617	100.00	0	0.00	0	0.00	8	0.00	29	0.00
Vectors	1227654	1224381	99.74	2	0.00	0	0.00	42	0.00	3229	0.26
Bacteria_24k	1227654	1210843	98.63	2937	0.24	4054	0.33	910	0.07	8910	0.73
Protists_1k	1227654	1204611	98.12	3202	0.26	3045	0.25	2047	0.17	14749	1.20
Viruses	1227654	1220289	99.40	21	0.00	9	0.00	580	0.05	6755	0.55
Fungi_RefSeq_release	1227654	1215090	98.97	464	0.04	77	0.01	1484	0.12	10539	0.86
Coral	1227654	1220118	99.39	54	0.00	10	0.00	815	0.07	6657	0.54
Bird	1227654	1218037	99.22	295	0.02	75	0.01	1460	0.12	7787	0.63
Plant	1227654	1219341	99.32	58	0.00	17	0.00	808	0.07	7430	0.61

%Hit_no_genomes: 97.31
