#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1936200	1916625	98.99	1055	0.05	209	0.01	2307	0.12	16004	0.83
Ecoli	1936200	1936190	100.00	0	0.00	0	0.00	2	0.00	8	0.00
PhiX	1936200	1936200	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1936200	1936139	100.00	0	0.00	0	0.00	21	0.00	40	0.00
Vectors	1936200	1932360	99.80	0	0.00	0	0.00	108	0.01	3732	0.19
Bacteria_24k	1936200	1918456	99.09	2605	0.13	3306	0.17	1346	0.07	10487	0.54
Protists_1k	1936200	1901531	98.21	5754	0.30	5554	0.29	2179	0.11	21182	1.09
Viruses	1936200	1926357	99.49	31	0.00	9	0.00	962	0.05	8841	0.46
Fungi_RefSeq_release	1936200	1916958	99.01	832	0.04	145	0.01	2561	0.13	15704	0.81
Coral	1936200	1925202	99.43	90	0.00	21	0.00	1488	0.08	9399	0.49
Bird	1936200	1921979	99.25	508	0.03	117	0.01	2428	0.13	11168	0.58
Plant	1936200	1924134	99.37	165	0.01	25	0.00	1461	0.08	10415	0.54

%Hit_no_genomes: 97.69
