pos	3pG>A
1	0.00355387990976235
2	0.00567921590180452
3	0.00571315215235072
4	0.00452875331111681
5	0.00448586734027264
6	0.0041955490696826
7	0.00584821230782863
8	0.00383207016946266
9	0.00388907676699357
10	0.00483309995934776
11	0.00374438342486271
12	0.00386767610269914
13	0.00458966693334456
14	0.00360811613889125
15	0.0041913632514818
16	0.00413152738734134
17	0.00335457900033546
18	0.00415553576729
19	0.00417042865127478
20	0.00391684242241639
21	0.00368675311467073
22	0.00457567124233791
23	0.00333119795003203
24	0.00353265552300534
25	0.00435626482639638
