#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	19956307	19250850	96.46	123803	0.62	32689	0.16	52997	0.27	495968	2.49
Ecoli	19956307	19955839	100.00	0	0.00	0	0.00	108	0.00	360	0.00
PhiX	19956307	19956307	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	19956307	19956222	100.00	0	0.00	0	0.00	1	0.00	84	0.00
Vectors	19956307	19798271	99.20	42	0.00	7	0.00	5268	0.03	152719	0.77
Bacteria_24k	19956307	19333418	96.88	53712	0.27	183831	0.92	35674	0.18	349672	1.75
Protists_1k	19956307	19124824	95.84	67405	0.34	92261	0.46	64161	0.32	607656	3.04
Viruses	19956307	19647715	98.45	694	0.00	462	0.00	26948	0.14	280488	1.41
Fungi_RefSeq_release	19956307	19397755	97.21	30332	0.15	4978	0.02	64830	0.32	458412	2.30
Coral	19956307	19608693	98.26	2458	0.01	531	0.00	42154	0.21	302471	1.52
Bird	19956307	19524700	97.84	10615	0.05	1693	0.01	57126	0.29	362173	1.81
Plant	19956307	19593822	98.19	2444	0.01	485	0.00	37562	0.19	321994	1.61

%Hit_no_genomes: 93.42
