#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	5174405	4943269	95.53	5625	0.11	1297	0.03	14056	0.27	210158	4.06
Ecoli	5174405	5174400	100.00	0	0.00	0	0.00	2	0.00	3	0.00
PhiX	5174405	5174405	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	5174405	5174401	100.00	0	0.00	0	0.00	3	0.00	1	0.00
Vectors	5174405	5098316	98.53	17	0.00	3	0.00	1109	0.02	74960	1.45
Bacteria_24k	5174405	5017841	96.98	1213	0.02	2075	0.04	10532	0.20	142744	2.76
Protists_1k	5174405	4879868	94.31	14708	0.28	31453	0.61	6340	0.12	242036	4.68
Viruses	5174405	5018333	96.99	245	0.00	119	0.00	11778	0.23	143930	2.78
Fungi_RefSeq_release	5174405	4953727	95.74	3634	0.07	1500	0.03	16689	0.32	198855	3.84
Coral	5174405	5034503	97.30	495	0.01	188	0.00	11296	0.22	127923	2.47
Bird	5174405	4996599	96.57	3856	0.07	634	0.01	28204	0.55	145112	2.80
Plant	5174405	5016949	96.96	638	0.01	136	0.00	11756	0.23	144926	2.80

%Hit_no_genomes: 93.74
