#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	25651746	6568026	25.60	11568996	45.10	3041605	11.86	133728	0.52	4339391	16.92
Ecoli	25651746	25651657	100.00	0	0.00	0	0.00	24	0.00	65	0.00
PhiX	25651746	25651746	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	25651746	25651715	100.00	0	0.00	0	0.00	16	0.00	15	0.00
Vectors	25651746	25567406	99.67	12	0.00	8	0.00	4940	0.02	79380	0.31
Bacteria_24k	25651746	24813349	96.73	10279	0.04	37862	0.15	411965	1.61	378291	1.47
Protists_1k	25651746	21142005	82.41	24763	0.10	42432	0.17	553642	2.16	3888904	15.16
Viruses	25651746	25104381	97.87	210	0.00	97	0.00	257455	1.00	289603	1.13
Fungi_RefSeq_release	25651746	24241898	94.50	12468	0.05	1525	0.01	765240	2.98	630615	2.46
Coral	25651746	25307736	98.66	674	0.00	231	0.00	48330	0.19	294775	1.15
Bird	25651746	25141709	98.01	3378	0.01	528	0.00	93667	0.37	412464	1.61
Plant	25651746	25367061	98.89	721	0.00	134	0.00	43339	0.17	240491	0.94

%Hit_no_genomes: 24.91
