#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	4037102	3908235	96.81	3431	0.08	811	0.02	8758	0.22	115867	2.87
Ecoli	4037102	4037101	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	4037102	4037102	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	4037102	4037102	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	4037102	3988079	98.79	1	0.00	0	0.00	531	0.01	48491	1.20
Bacteria_24k	4037102	3947481	97.78	753	0.02	1182	0.03	5150	0.13	82536	2.04
Protists_1k	4037102	3865708	95.75	9557	0.24	21116	0.52	3600	0.09	137121	3.40
Viruses	4037102	3951424	97.88	99	0.00	49	0.00	4979	0.12	80551	2.00
Fungi_RefSeq_release	4037102	3906379	96.76	2413	0.06	1056	0.03	9826	0.24	117428	2.91
Coral	4037102	3952053	97.90	288	0.01	131	0.00	6571	0.16	78059	1.93
Bird	4037102	3933698	97.43	2323	0.06	398	0.01	10396	0.26	90287	2.24
Plant	4037102	3943780	97.69	323	0.01	87	0.00	6492	0.16	86420	2.14

%Hit_no_genomes: 95.32
