#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3223617	3133401	97.21	9655	0.30	2408	0.07	7544	0.23	70609	2.19
Ecoli	3223617	3223607	100.00	0	0.00	0	0.00	4	0.00	6	0.00
PhiX	3223617	3223617	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3223617	3223580	100.00	0	0.00	0	0.00	2	0.00	35	0.00
Vectors	3223617	3201664	99.32	16	0.00	3	0.00	656	0.02	21278	0.66
Bacteria_24k	3223617	3168952	98.32	1772	0.05	4672	0.14	4662	0.14	43559	1.35
Protists_1k	3223617	3111905	96.54	8845	0.27	14198	0.44	4864	0.15	83805	2.60
Viruses	3223617	3178181	98.60	98	0.00	25	0.00	3974	0.12	41339	1.28
Fungi_RefSeq_release	3223617	3144298	97.54	2695	0.08	589	0.02	8712	0.27	67323	2.09
Coral	3223617	3174140	98.47	338	0.01	108	0.00	5937	0.18	43094	1.34
Bird	3223617	3161505	98.06	1541	0.05	224	0.01	8883	0.28	51464	1.60
Plant	3223617	3171439	98.39	326	0.01	67	0.00	5307	0.16	46478	1.44

%Hit_no_genomes: 95.63
