#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2910244	2791045	95.90	32456	1.12	8729	0.30	6815	0.23	71199	2.45
Ecoli	2910244	2910134	100.00	0	0.00	0	0.00	21	0.00	89	0.00
PhiX	2910244	2910244	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2910244	2910220	100.00	0	0.00	0	0.00	1	0.00	23	0.00
Vectors	2910244	2892981	99.41	3	0.00	1	0.00	664	0.02	16595	0.57
Bacteria_24k	2910244	2800543	96.24	9166	0.31	48301	1.66	5532	0.19	46702	1.60
Protists_1k	2910244	2793116	95.98	8807	0.30	12240	0.42	10441	0.36	85640	2.94
Viruses	2910244	2869588	98.61	106	0.00	58	0.00	4505	0.15	35987	1.24
Fungi_RefSeq_release	2910244	2837696	97.50	3791	0.13	558	0.02	9789	0.34	58410	2.01
Coral	2910244	2867605	98.54	299	0.01	90	0.00	5378	0.18	36872	1.27
Bird	2910244	2855943	98.14	1443	0.05	227	0.01	8563	0.29	44068	1.51
Plant	2910244	2865229	98.46	327	0.01	83	0.00	4911	0.17	39694	1.36

%Hit_no_genomes: 92.19
