#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	13351	12934	96.89	6	0.04	2	0.01	48	0.36	361	2.70
Ecoli	13351	13351	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	13351	13351	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	13351	13351	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	13351	13255	99.28	0	0.00	0	0.00	1	0.01	95	0.71
Bacteria_24k	13351	13095	98.09	3	0.02	5	0.04	22	0.16	226	1.69
Protists_1k	13351	12769	95.64	37	0.28	86	0.64	13	0.10	446	3.34
Viruses	13351	13099	98.11	1	0.01	0	0.00	23	0.17	228	1.71
Fungi_RefSeq_release	13351	12953	97.02	7	0.05	1	0.01	40	0.30	350	2.62
Coral	13351	13123	98.29	1	0.01	1	0.01	26	0.19	200	1.50
Bird	13351	13052	97.77	6	0.04	2	0.01	51	0.38	240	1.80
Plant	13351	13088	98.03	1	0.01	0	0.00	27	0.20	235	1.76

%Hit_no_genomes: 95.24
