#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	6147713	5962885	97.00	6246	0.10	1410	0.02	15887	0.26	161285	2.62
Ecoli	6147713	6147635	100.00	0	0.00	0	0.00	17	0.00	61	0.00
PhiX	6147713	6147713	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	6147713	6147688	100.00	0	0.00	0	0.00	7	0.00	18	0.00
Vectors	6147713	6099336	99.22	12	0.00	3	0.00	1420	0.02	46942	0.76
Bacteria_24k	6147713	6026623	98.03	1147	0.02	5594	0.09	9550	0.16	104799	1.70
Protists_1k	6147713	5895680	95.91	17292	0.28	32740	0.53	7006	0.11	194995	3.17
Viruses	6147713	6037177	98.21	264	0.00	107	0.00	9071	0.15	101094	1.64
Fungi_RefSeq_release	6147713	5962659	96.99	4300	0.07	1510	0.02	17665	0.29	161579	2.63
Coral	6147713	6036913	98.21	638	0.01	216	0.00	11921	0.19	98025	1.59
Bird	6147713	6005610	97.69	3841	0.06	570	0.01	20754	0.34	116938	1.90
Plant	6147713	6025537	98.02	661	0.01	138	0.00	11843	0.19	109534	1.78

%Hit_no_genomes: 95.32
