#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	8359	8005	95.77	138	1.65	33	0.39	13	0.16	170	2.03
Ecoli	8359	8358	99.99	0	0.00	0	0.00	0	0.00	1	0.01
PhiX	8359	8359	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	8359	8359	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	8359	8338	99.75	0	0.00	0	0.00	1	0.01	20	0.24
Bacteria_24k	8359	7724	92.40	116	1.39	239	2.86	31	0.37	249	2.98
Protists_1k	8359	7907	94.59	28	0.33	39	0.47	96	1.15	289	3.46
Viruses	8359	8266	98.88	3	0.04	0	0.00	18	0.22	72	0.86
Fungi_RefSeq_release	8359	8192	98.00	6	0.07	3	0.04	26	0.31	132	1.58
Coral	8359	8268	98.91	0	0.00	0	0.00	5	0.06	86	1.03
Bird	8359	8249	98.68	3	0.04	0	0.00	22	0.26	85	1.02
Plant	8359	8288	99.15	0	0.00	0	0.00	5	0.06	66	0.79

%Hit_no_genomes: 87.99
