#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	5979367	5770456	96.51	6189	0.10	1540	0.03	16412	0.27	184770	3.09
Ecoli	5979367	5979361	100.00	0	0.00	0	0.00	3	0.00	3	0.00
PhiX	5979367	5979367	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	5979367	5979331	100.00	0	0.00	0	0.00	0	0.00	36	0.00
Vectors	5979367	5908177	98.81	28	0.00	4	0.00	1528	0.03	69630	1.16
Bacteria_24k	5979367	5839916	97.67	1098	0.02	1670	0.03	9780	0.16	126903	2.12
Protists_1k	5979367	5702995	95.36	17677	0.30	33837	0.57	7485	0.13	217373	3.64
Viruses	5979367	5846335	97.78	233	0.00	109	0.00	8929	0.15	123761	2.07
Fungi_RefSeq_release	5979367	5769436	96.50	4375	0.07	1489	0.02	17508	0.29	186559	3.12
Coral	5979367	5842385	97.71	659	0.01	228	0.00	12596	0.21	123499	2.07
Bird	5979367	5811204	97.19	3840	0.06	629	0.01	19205	0.32	144489	2.42
Plant	5979367	5830939	97.52	759	0.01	161	0.00	12354	0.21	135154	2.26

%Hit_no_genomes: 94.83
