#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	7807	7538	96.55	10	0.13	1	0.01	14	0.18	244	3.13
Ecoli	7807	7807	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	7807	7807	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	7807	7807	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	7807	7721	98.89	0	0.00	0	0.00	2	0.03	84	1.08
Bacteria_24k	7807	7624	97.65	2	0.03	4	0.05	9	0.12	168	2.15
Protists_1k	7807	7453	95.46	20	0.26	46	0.59	7	0.09	281	3.60
Viruses	7807	7636	97.81	0	0.00	0	0.00	11	0.14	160	2.05
Fungi_RefSeq_release	7807	7548	96.68	4	0.05	2	0.03	21	0.27	232	2.97
Coral	7807	7655	98.05	1	0.01	1	0.01	9	0.12	141	1.81
Bird	7807	7598	97.32	10	0.13	3	0.04	31	0.40	165	2.11
Plant	7807	7628	97.70	0	0.00	0	0.00	17	0.22	162	2.08

%Hit_no_genomes: 94.83
