Sample	Unique Reads	Duplicate Reads
Sfa-ABas_001-Ex1-7A-lcwgs-1-3.1	1118027.0	243571.0
Sfa-ABas_001-Ex1-7A-lcwgs-1-3.2	1124013.0	237585.0
Sfa-ABas_002-Ex1-7D-lcwgs-1-3.1	1032375.0	254881.0
Sfa-ABas_002-Ex1-7D-lcwgs-1-3.2	1040705.0	246551.0
Sfa-ABas_003-Ex1-7G-lcwgs-1-3.1	973899.0	217201.0
Sfa-ABas_003-Ex1-7G-lcwgs-1-3.2	978517.0	212583.0
Sfa-ABas_004-Ex1-8B-lcwgs-1-3.1	6265.0	310.0
Sfa-ABas_004-Ex1-8B-lcwgs-1-3.2	6292.0	283.0
Sfa-ABas_005-Ex1-8E-lcwgs-1-3.1	3423.0	116.0
Sfa-ABas_005-Ex1-8E-lcwgs-1-3.2	3428.0	111.0
Sfa-ABas_006-Ex1-8H-lcwgs-1-3.1	1234169.0	289390.0
Sfa-ABas_006-Ex1-8H-lcwgs-1-3.2	1240432.0	283127.0
Sfa-ABas_007-Ex1-9C-lcwgs-1-3.1	5681.0	244.0
Sfa-ABas_007-Ex1-9C-lcwgs-1-3.2	5690.0	235.0
Sfa-ABas_008-Ex1-9F-lcwgs-1-3.1	3720.0	185.0
Sfa-ABas_008-Ex1-9F-lcwgs-1-3.2	3732.0	173.0
Sfa-ABas_009-Ex1-10A-lcwgs-1-3.1	2370.0	87.0
Sfa-ABas_009-Ex1-10A-lcwgs-1-3.2	2381.0	76.0
Sfa-ABas_010-Ex1-10D-lcwgs-1-3.1	1521.0	54.0
Sfa-ABas_010-Ex1-10D-lcwgs-1-3.2	1525.0	50.0
Sfa-ABas_011-Ex1-10G-lcwgs-1-3.1	1322.0	52.0
Sfa-ABas_011-Ex1-10G-lcwgs-1-3.2	1323.0	51.0
Sfa-ABas_012-Ex1-11B-lcwgs-1-3.1	962.0	47.0
Sfa-ABas_012-Ex1-11B-lcwgs-1-3.2	960.0	49.0
Sfa-ABas_013-Ex1-7B-lcwgs-1-3.1	7412.0	349.0
Sfa-ABas_013-Ex1-7B-lcwgs-1-3.2	7425.0	336.0
Sfa-ABas_014-Ex1-7E-lcwgs-1-3.1	476260.0	153319.0
Sfa-ABas_014-Ex1-7E-lcwgs-1-3.2	480678.0	148901.0
Sfa-ABas_015-Ex1-7H-lcwgs-1-3.1	21228.0	4227.0
Sfa-ABas_015-Ex1-7H-lcwgs-1-3.2	21357.0	4098.0
Sfa-ABas_016-Ex1-8C-lcwgs-1-3.1	560915.0	179974.0
Sfa-ABas_016-Ex1-8C-lcwgs-1-3.2	567647.0	173242.0
Sfa-ABas_017-Ex1-8F-lcwgs-1-3.1	4929.0	155.0
Sfa-ABas_017-Ex1-8F-lcwgs-1-3.2	4941.0	143.0
Sfa-ABas_018-Ex1-9A-lcwgs-1-3.1	6699.0	332.0
Sfa-ABas_018-Ex1-9A-lcwgs-1-3.2	6721.0	310.0
Sfa-ABas_019-Ex1-9D-lcwgs-1-3.1	6272.0	435.0
Sfa-ABas_019-Ex1-9D-lcwgs-1-3.2	6289.0	418.0
Sfa-ABas_020-Ex1-1A-lcwgs-2-3.1	1214247.0	324903.0
Sfa-ABas_020-Ex1-1A-lcwgs-2-3.2	1224083.0	315067.0
Sfa-ABas_021-Ex1-2A-lcwgs-2-3.1	4062718.0	1029204.0
Sfa-ABas_021-Ex1-2A-lcwgs-2-3.2	4096733.0	995189.0
Sfa-ABas_022-Ex1-10E-lcwgs-1-3.1	733.0	29.0
Sfa-ABas_022-Ex1-10E-lcwgs-1-3.2	735.0	27.0
Sfa-ABas_023-Ex1-10H-lcwgs-1-3.1	1189.0	40.0
Sfa-ABas_023-Ex1-10H-lcwgs-1-3.2	1195.0	34.0
Sfa-ABas_024-Ex1-4A-lcwgs-2-3.1	878731.0	201317.0
Sfa-ABas_024-Ex1-4A-lcwgs-2-3.2	884005.0	196043.0
Sfa-ABas_025-Ex1-7C-lcwgs-1-3.1	366409.0	102673.0
Sfa-ABas_025-Ex1-7C-lcwgs-1-3.2	369033.0	100049.0
Sfa-ABas_026-Ex1-7F-lcwgs-1-3.1	6275.0	317.0
Sfa-ABas_026-Ex1-7F-lcwgs-1-3.2	6303.0	289.0
Sfa-ABas_027-Ex1-8A-lcwgs-1-3.1	8750.0	383.0
Sfa-ABas_027-Ex1-8A-lcwgs-1-3.2	8757.0	376.0
Sfa-ABas_028-Ex1-8D-lcwgs-1-3.1	989245.0	240729.0
Sfa-ABas_028-Ex1-8D-lcwgs-1-3.2	996815.0	233159.0
Sfa-ABas_029-Ex1-8G-lcwgs-1-3.1	6042.0	304.0
Sfa-ABas_029-Ex1-8G-lcwgs-1-3.2	6046.0	300.0
Sfa-ABas_030-Ex1-9B-lcwgs-1-3.1	4456.0	201.0
