#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	22964657	22000599	95.80	32991	0.14	8083	0.04	105123	0.46	817861	3.56
Ecoli	22964657	22964068	100.00	0	0.00	0	0.00	159	0.00	430	0.00
PhiX	22964657	22964657	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	22964657	22963651	100.00	0	0.00	3	0.00	52	0.00	951	0.00
Vectors	22964657	22853092	99.52	118	0.00	35	0.00	7856	0.03	103556	0.45
Bacteria_24k	22964657	21723139	94.59	289570	1.26	208163	0.91	77538	0.34	666247	2.90
Protists_1k	22964657	21358927	93.01	126333	0.55	209046	0.91	139838	0.61	1130513	4.92
Viruses	22964657	22509827	98.02	1067	0.00	334	0.00	47421	0.21	406008	1.77
Fungi_RefSeq_release	22964657	21980711	95.71	23223	0.10	6540	0.03	116944	0.51	837239	3.65
Coral	22964657	22352903	97.33	3922	0.02	759	0.00	86155	0.38	520918	2.27
Bird	22964657	22186988	96.61	14697	0.06	3729	0.02	105635	0.46	653608	2.85
Plant	22964657	22397028	97.53	3992	0.02	749	0.00	72036	0.31	490852	2.14

%Hit_no_genomes: 90.20
