Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Sne-ABir_001-Ex1-9A-lcwgs-1-1.clmp.r1	8.221396203423396	44.0	134.5605942236271	0.0	1331216.0
Sne-ABir_001-Ex1-9A-lcwgs-1-1.clmp.r2	8.534534499614011	44.0	134.51163597793297	0.0	1331216.0
Sne-ABir_002-Ex1-9B-lcwgs-1-1.clmp.r1	2.16098527930329	49.0	113.70223897572548	9.090909090909092	30773.0
Sne-ABir_002-Ex1-9B-lcwgs-1-1.clmp.r2	1.4233256426087877	49.0	113.65239008221494	9.090909090909092	30773.0
Sne-ABir_003-Ex1-9C-lcwgs-1-1.clmp.r1	5.494190760466054	53.0	139.20875304018423	18.181818181818183	743376.0
Sne-ABir_003-Ex1-9C-lcwgs-1-1.clmp.r2	4.313881362831353	53.0	139.09753341512237	9.090909090909092	743376.0
Sne-ABir_004-Ex1-9D-lcwgs-1-1.clmp.r1	11.319324796351722	47.0	142.71817907163663	0.0	175427.0
Sne-ABir_004-Ex1-9D-lcwgs-1-1.clmp.r2	10.684797241546349	47.0	142.5962480119936	0.0	175427.0
Sne-ABir_005-Ex1-9E-lcwgs-1-1.clmp.r1	5.453276493001852	53.0	131.12907911117819	18.181818181818183	53014.0
Sne-ABir_005-Ex1-9E-lcwgs-1-1.clmp.r2	3.6009356019164755	53.0	131.0325385747161	18.181818181818183	53014.0
Sne-ABir_006-Ex1-9F-lcwgs-1-1.clmp.r1	4.703764811759413	53.0	144.2321583920804	9.090909090909092	33335.0
Sne-ABir_006-Ex1-9F-lcwgs-1-1.clmp.r2	2.9668516574171235	54.0	144.06206689665515	9.090909090909092	33335.0
Sne-ABir_007-Ex1-9G-lcwgs-1-1.clmp.r1	5.994962425186216	53.0	138.35103936536277	18.181818181818183	176983.0
Sne-ABir_007-Ex1-9G-lcwgs-1-1.clmp.r2	4.415272296594026	53.0	138.24105705067717	9.090909090909092	176983.0
Sne-ABir_008-Ex1-9H-lcwgs-1-1.clmp.r1	3.7823085881242235	55.0	138.26130121766954	9.090909090909092	225020.0
Sne-ABir_008-Ex1-9H-lcwgs-1-1.clmp.r2	2.692392584878178	55.0	138.14786241223	9.090909090909092	225020.0
Sne-ABir_009-Ex1-10A-lcwgs-1-1.clmp.r1	3.7973880143188694	53.0	138.56385733318896	9.090909090909092	424822.0
Sne-ABir_009-Ex1-10A-lcwgs-1-1.clmp.r2	2.9177360768690193	53.0	138.45816365442468	9.090909090909092	424822.0
Sne-ABir_010-Ex1-10B-lcwgs-1-1.clmp.r1	3.201550364009833	54.0	139.47776630493468	9.090909090909092	296352.0
Sne-ABir_010-Ex1-10B-lcwgs-1-1.clmp.r2	2.354215732320924	54.0	139.3674144260879	9.090909090909092	296352.0
Sne-ABir_011-Ex1-10C-lcwgs-1-1.clmp.r1	2.2719192651942564	34.0	105.61627319041274	0.0	1540669.0
Sne-ABir_011-Ex1-10C-lcwgs-1-1.clmp.r2	1.863432376877654	34.0	105.67792887375549	0.0	1540669.0
Sne-ABir_012-Ex1-10D-lcwgs-1-1.clmp.r1	4.344338089436263	36.0	110.90041995719352	0.0	2010443.0
Sne-ABir_012-Ex1-10D-lcwgs-1-1.clmp.r2	3.891621503349981	36.0	110.93743916141865	0.0	2010443.0
Sne-ABir_013-Ex1-10E-lcwgs-1-1.clmp.r1	3.036573374955381	34.0	107.11196318615222	0.0	4945313.0
Sne-ABir_013-Ex1-10E-lcwgs-1-1.clmp.r2	2.564702287363602	34.0	107.17759037698929	0.0	4945313.0
Sne-ABir_014-Ex1-10F-lcwgs-1-1.clmp.r1	3.2689328614159905	33.0	113.09775324206251	0.0	1567058.0
Sne-ABir_014-Ex1-10F-lcwgs-1-1.clmp.r2	2.8386908428230697	33.0	113.14069932319033	0.0	1567058.0
Sne-ABir_015-Ex1-10G-lcwgs-1-1.clmp.r1	2.4121912441684827	34.0	105.02244205362062	0.0	2365247.0
Sne-ABir_015-Ex1-10G-lcwgs-1-1.clmp.r2	2.083028096924565	34.0	105.09435505044505	0.0	2365247.0
Sne-ABir_016-Ex1-10H-lcwgs-1-1.clmp.r1	3.857098374533294	34.0	115.46821469081988	0.0	2217235.0
Sne-ABir_016-Ex1-10H-lcwgs-1-1.clmp.r2	3.4542478144746553	34.0	115.51954032838196	0.0	2217235.0
Sne-ABir_017-Ex1-11A-lcwgs-1-1.clmp.r1	5.405439010920404	33.0	113.69769169931674	0.0	1317506.0
Sne-ABir_017-Ex1-11A-lcwgs-1-1.clmp.r2	4.848354167817618	33.0	113.73901295326169	0.0	1317506.0
Sne-ABir_018-Ex1-11B-lcwgs-1-1.clmp.r1	5.531402354961514	33.0	115.06063664015112	0.0	3219621.0
Sne-ABir_018-Ex1-11B-lcwgs-1-1.clmp.r2	5.05905790628141	33.0	115.09739624632837	0.0	3219621.0
Sne-ABir_019-Ex1-11C-lcwgs-1-1.clmp.r1	4.32040120542942	34.0	109.61789045853018	0.0	2220748.0
Sne-ABir_019-Ex1-11C-lcwgs-1-1.clmp.r2	3.8413907925146162	34.0	109.67083162970314	0.0	2220748.0
Sne-ABir_020-Ex1-11D-lcwgs-1-1.clmp.r1	1.1979833887648397	33.0	85.69202417832093	0.0	2579170.0
Sne-ABir_020-Ex1-11D-lcwgs-1-1.clmp.r2	1.0127557090097952	33.0	85.79146392056359	0.0	2579170.0
Sne-ABir_021-Ex1-11E-lcwgs-1-1.clmp.r1	3.672432080605958	33.0	109.30319659593302	0.0	2205127.0
Sne-ABir_021-Ex1-11E-lcwgs-1-1.clmp.r2	3.1713729622311035	33.0	109.3728696805218	0.0	2205127.0
Sne-ABir_022-Ex1-11F-lcwgs-1-1.clmp.r1	3.043512641905778	33.0	113.40265051731609	0.0	2070011.0
Sne-ABir_022-Ex1-11F-lcwgs-1-1.clmp.r2	2.6270368666528867	33.0	113.44401261635808	0.0	2070011.0
Sne-ABir_023-Ex1-11G-lcwgs-1-1.clmp.r1	5.536354275644101	33.0	114.44663361608337	0.0	1752667.0
Sne-ABir_023-Ex1-11G-lcwgs-1-1.clmp.r2	4.822917292361808	33.0	114.4782345990425	0.0	1752667.0
Sne-ABir_024-Ex1-11H-lcwgs-1-1.clmp.r1	2.8684897834511673	34.0	110.72534162832885	0.0	1758490.0
Sne-ABir_024-Ex1-11H-lcwgs-1-1.clmp.r2	2.4163741046121885	34.0	110.76964668550859	0.0	1758490.0
Sne-ABir_025-Ex1-12A-lcwgs-1-1.clmp.r1	3.5315077278434472	34.0	108.03076549555539	0.0	2969658.0
Sne-ABir_025-Ex1-12A-lcwgs-1-1.clmp.r2	3.0438133041430007	34.0	108.08845597708557	0.0	2969658.0
Sne-ABir_026-Ex1-12B-lcwgs-1-1.clmp.r1	2.4658633033852198	33.0	107.12998845040424	0.0	2666760.0
Sne-ABir_026-Ex1-12B-lcwgs-1-1.clmp.r2	2.13451108882262	33.0	107.18418867839625	0.0	2666760.0
Sne-ABir_027-Ex1-12C-lcwgs-1-1.clmp.r1	5.142012264077749	35.0	116.3667219555381	0.0	1741761.0
Sne-ABir_027-Ex1-12C-lcwgs-1-1.clmp.r2	4.465774198192847	35.0	116.40464392072161	0.0	1741761.0
Sne-ABir_028-Ex1-12D-lcwgs-1-1.clmp.r1	4.263215904745564	40.0	126.59094687102778	9.090909090909092	718271.0
Sne-ABir_028-Ex1-12D-lcwgs-1-1.clmp.r2	3.485093131957811	40.0	126.5681045176542	9.090909090909092	718271.0
Sne-CCab_016-Ex1-1A-lcwgs-1-1.clmp.r1	3.393727218182846	38.0	137.79928232763578	0.0	1652286.0
Sne-CCab_016-Ex1-1A-lcwgs-1-1.clmp.r2	2.8353615071672635	39.0	137.68467868153576	0.0	1652286.0
Sne-CCab_017-Ex1-1B-lcwgs-1-1.clmp.r1	3.282884880369039	39.0	137.6591616864847	0.0	1217325.0
Sne-CCab_017-Ex1-1B-lcwgs-1-1.clmp.r2	2.634166667795938	39.0	137.53488838231368	0.0	1217325.0
Sne-CCab_018-Ex1-1C-lcwgs-1-1.clmp.r1	3.0493134384221747	39.0	134.5752427872507	0.0	1375793.0
Sne-CCab_018-Ex1-1C-lcwgs-1-1.clmp.r2	2.5363744277321416	39.0	134.46559039041483	0.0	1375793.0
Sne-CCab_019-Ex1-1D-lcwgs-1-1.clmp.r1	4.3297705539155515	39.0	145.28711440283195	0.0	2174614.0
Sne-CCab_019-Ex1-1D-lcwgs-1-1.clmp.r2	3.577256077227517	39.0	145.10342525156187	0.0	2174614.0
Sne-CCab_020-Ex1-1E-lcwgs-1-1.clmp.r1	3.9272329997879467	39.0	142.1832158783976	0.0	1881147.0
Sne-CCab_020-Ex1-1E-lcwgs-1-1.clmp.r2	3.1904038612542536	39.0	142.03535715178026	0.0	1881147.0
Sne-CCab_021-Ex1-1F-lcwgs-1-1.clmp.r1	5.3300728502376415	38.0	147.25882029085756	9.090909090909092	2691833.0
Sne-CCab_021-Ex1-1F-lcwgs-1-1.clmp.r2	4.438822674008065	38.0	147.0804953353347	9.090909090909092	2691833.0
Sne-CCab_022-Ex1-1G-lcwgs-1-1.clmp.r1	4.183330442146911	39.0	144.10892964898582	0.0	2706187.0
Sne-CCab_022-Ex1-1G-lcwgs-1-1.clmp.r2	3.5774697502510833	39.0	143.9639902933537	0.0	2706187.0
Sne-CCab_023-Ex1-1H-lcwgs-1-1.clmp.r1	4.0732970542790525	38.0	143.17287375138315	0.0	2177109.0
Sne-CCab_023-Ex1-1H-lcwgs-1-1.clmp.r2	3.415440463678763	38.0	143.0335578053281	0.0	2177109.0
Sne-CCab_024-Ex1-2A-lcwgs-1-1.clmp.r1	3.326733251082871	38.0	138.87066610775508	0.0	2130331.0
Sne-CCab_024-Ex1-2A-lcwgs-1-1.clmp.r2	2.8395970907138377	38.0	138.76728827585947	0.0	2130331.0
Sne-CCab_025-Ex1-2B-lcwgs-1-1.clmp.r1	3.4720553141269193	39.0	140.5776001277895	0.0	1890609.0
Sne-CCab_025-Ex1-2B-lcwgs-1-1.clmp.r2	2.8563128910437428	39.0	140.44795036943123	0.0	1890609.0
Sne-CCab_026-Ex1-2C-lcwgs-1-1.clmp.r1	4.256986841461966	38.0	145.3231643673297	0.0	2790877.0
Sne-CCab_026-Ex1-2C-lcwgs-1-1.clmp.r2	3.681689615448221	38.0	145.1579084280676	0.0	2790877.0
Sne-CCab_027-Ex1-2D-lcwgs-1-1.clmp.r1	3.442800245654311	38.0	142.05103741017902	0.0	1545435.0
Sne-CCab_027-Ex1-2D-lcwgs-1-1.clmp.r2	2.8202937936871564	38.0	141.9027820645967	0.0	1545435.0
Sne-CCab_028-Ex1-2E-lcwgs-1-1.clmp.r1	3.919903312893453	38.0	144.22362886940223	0.0	1831226.0
Sne-CCab_028-Ex1-2E-lcwgs-1-1.clmp.r2	3.3267298248046444	38.0	144.06074072779657	0.0	1831226.0
Sne-CCab_029-Ex1-2F-lcwgs-1-1.clmp.r1	3.7255832522962606	39.0	142.77621036386302	0.0	2105875.0
Sne-CCab_029-Ex1-2F-lcwgs-1-1.clmp.r2	3.1693782833417714	39.0	142.63640244553926	0.0	2105875.0
Sne-CCab_030-Ex1-2G-lcwgs-1-1.clmp.r1	3.750169768668016	38.0	143.89973259887327	0.0	1558333.0
Sne-CCab_030-Ex1-2G-lcwgs-1-1.clmp.r2	3.0816939637330734	39.0	143.74168165597467	0.0	1558333.0
Sne-CCab_031-Ex1-2H-lcwgs-1-1.clmp.r1	2.8488572874275917	39.0	135.58807271345438	0.0	905252.0
Sne-CCab_031-Ex1-2H-lcwgs-1-1.clmp.r2	2.2967498108585715	39.0	135.48436347006137	0.0	905252.0
Sne-CCab_032-Ex1-3A-lcwgs-1-1.clmp.r1	3.834549452903005	38.0	140.60940026546538	0.0	2264702.0
Sne-CCab_032-Ex1-3A-lcwgs-1-1.clmp.r2	3.2789450751120626	38.0	140.48881972109353	0.0	2264702.0
Sne-CCab_033-Ex1-3B-lcwgs-1-1.clmp.r1	3.6338542012743744	38.0	140.70786599995742	0.0	1973074.0
Sne-CCab_033-Ex1-3B-lcwgs-1-1.clmp.r2	2.9601608709730556	38.0	140.58100709856802	0.0	1973074.0
Sne-CCab_034-Ex1-3C-lcwgs-1-1.clmp.r1	4.584892341570409	37.0	144.61932568322695	0.0	3655374.0
Sne-CCab_034-Ex1-3C-lcwgs-1-1.clmp.r2	4.023210197418109	38.0	144.48200731306838	0.0	3655374.0
Sne-CCab_035-Ex1-3D-lcwgs-1-1.clmp.r1	4.380395490562734	38.0	145.1801282088801	0.0	2733664.0
Sne-CCab_035-Ex1-3D-lcwgs-1-1.clmp.r2	3.732232629207971	38.0	145.02449898743956	0.0	2733664.0
Sne-CCab_036-Ex1-3E-lcwgs-1-1.clmp.r1	4.314818408816578	39.0	144.825925066023	0.0	2183709.0
Sne-CCab_036-Ex1-3E-lcwgs-1-1.clmp.r2	3.418072360696712	39.0	144.65517658259412	0.0	2183709.0
Sne-CCab_037-Ex1-3F-lcwgs-1-1.clmp.r1	3.8623206662560534	39.0	140.5698488426926	0.0	2027292.0
Sne-CCab_037-Ex1-3F-lcwgs-1-1.clmp.r2	3.1441262034017825	39.0	140.44407515049633	0.0	2027292.0
Sne-CCab_038-Ex1-3G-lcwgs-1-1.clmp.r1	4.257663413890867	38.0	144.752774682711	0.0	2643095.0
Sne-CCab_038-Ex1-3G-lcwgs-1-1.clmp.r2	3.629460120755013	39.0	144.60569067702826	0.0	2643095.0
Sne-CCab_039-Ex1-3H-lcwgs-1-1.clmp.r1	3.7879444579463524	38.0	142.68578443963864	0.0	1810305.0
Sne-CCab_039-Ex1-3H-lcwgs-1-1.clmp.r2	3.1029836304810203	38.0	142.54745305349098	0.0	1810305.0
Sne-CCab_040-Ex1-4A-lcwgs-1-1.clmp.r1	3.3911673554678856	38.0	138.68869168819327	0.0	2138825.0
Sne-CCab_040-Ex1-4A-lcwgs-1-1.clmp.r2	2.867099895312279	38.0	138.58528397601486	0.0	2138825.0
Sne-CCab_041-Ex1-4B-lcwgs-1-1.clmp.r1	3.1853692937829408	38.0	140.0386676993119	0.0	1274397.0
Sne-CCab_041-Ex1-4B-lcwgs-1-1.clmp.r2	2.6358956048516404	38.0	139.91735620846566	0.0	1274397.0
Sne-CCab_042-Ex1-4C-lcwgs-1-1.clmp.r1	3.2364063337450233	38.0	142.0264168358413	0.0	1211273.0
Sne-CCab_042-Ex1-4C-lcwgs-1-1.clmp.r2	2.63467548143997	38.0	141.89389344928847	0.0	1211273.0
Sne-CCab_043-Ex1-4D-lcwgs-1-1.clmp.r1	3.86019151026845	39.0	145.1199545059723	0.0	1875411.0
Sne-CCab_043-Ex1-4D-lcwgs-1-1.clmp.r2	3.1418069864275964	39.0	144.94752723536334	0.0	1875411.0
Sne-CCab_044-Ex1-4E-lcwgs-1-1.clmp.r1	3.3654530788938644	39.0	139.78985835668726	0.0	1118655.0
Sne-CCab_044-Ex1-4E-lcwgs-1-1.clmp.r2	2.7052928155621316	39.0	139.65444037705996	0.0	1118655.0
Sne-CCab_045-Ex1-4F-lcwgs-1-1.clmp.r1	3.651204540826555	38.0	142.43859261099368	0.0	1541777.0
Sne-CCab_045-Ex1-4F-lcwgs-1-1.clmp.r2	2.9558101478384486	38.0	142.2926875936014	0.0	1541777.0
Sne-CCab_046-Ex1-4G-lcwgs-1-1.clmp.r1	2.5674133360127342	39.0	132.25515647438965	0.0	668480.0
Sne-CCab_046-Ex1-4G-lcwgs-1-1.clmp.r2	2.096717361262222	39.0	132.18228817616085	0.0	668480.0
Sne-CCab_047-Ex1-4H-lcwgs-1-1.clmp.r1	3.2339713736238593	39.0	142.951305824234	0.0	957671.0
Sne-CCab_047-Ex1-4H-lcwgs-1-1.clmp.r2	2.5366660479836582	39.0	142.79780947736748	0.0	957671.0
Sne-CCab_048-Ex1-5A-lcwgs-1-1.clmp.r1	3.4827727069723977	39.0	141.76012044935095	0.0	2163565.0
Sne-CCab_048-Ex1-5A-lcwgs-1-1.clmp.r2	3.022976603236188	39.0	141.63045344142654	0.0	2163565.0
Sne-CCab_049-Ex1-5B-lcwgs-1-1.clmp.r1	2.9396462385882103	39.0	137.19917135664272	0.0	1064149.0
Sne-CCab_049-Ex1-5B-lcwgs-1-1.clmp.r2	2.376558734402323	39.0	137.09866945324387	0.0	1064149.0
Sne-CCab_050-Ex1-5C-lcwgs-1-1.clmp.r1	3.752540418030108	39.0	143.9691250065115	0.0	1938883.0
Sne-CCab_050-Ex1-5C-lcwgs-1-1.clmp.r2	3.1417668372609455	39.0	143.8197647820936	0.0	1938883.0
Sne-CCab_051-Ex1-5D-lcwgs-1-1.clmp.r1	3.0186565169034196	39.0	137.8946214314439	0.0	999634.0
Sne-CCab_051-Ex1-5D-lcwgs-1-1.clmp.r2	2.449000845479759	39.0	137.77861497308015	0.0	999634.0
Sne-CCab_052-Ex1-5E-lcwgs-1-1.clmp.r1	3.3292217537702555	39.0	141.42735989211295	0.0	1094478.0
Sne-CCab_052-Ex1-5E-lcwgs-1-1.clmp.r2	2.643114719961801	39.0	141.28043597038953	0.0	1094478.0
Sne-CCab_053-Ex1-5F-lcwgs-1-1.clmp.r1	3.1922560157600373	39.0	138.52002403774142	0.0	1101601.0
Sne-CCab_053-Ex1-5F-lcwgs-1-1.clmp.r2	2.534416800713643	39.0	138.40437781011454	0.0	1101601.0
Sne-CCab_054-Ex1-5G-lcwgs-1-1.clmp.r1	3.257320944689951	39.0	140.0970476225047	0.0	1294787.0
Sne-CCab_054-Ex1-5G-lcwgs-1-1.clmp.r2	2.624009284494093	39.0	139.9719173887288	0.0	1294787.0
Sne-CCab_055-Ex1-5H-lcwgs-1-1.clmp.r1	2.8036957363687662	39.0	135.45407941266095	0.0	705555.0
Sne-CCab_055-Ex1-5H-lcwgs-1-1.clmp.r2	2.239065653404836	39.0	135.35179681243844	0.0	705555.0
Sne-CCab_056-Ex1-6A-lcwgs-1-1.clmp.r1	3.186542044716191	38.0	137.69457026630866	0.0	1906134.0
Sne-CCab_056-Ex1-6A-lcwgs-1-1.clmp.r2	2.719763650971757	38.0	137.5892382172502	0.0	1906134.0
Sne-CCab_057-Ex1-6B-lcwgs-1-1.clmp.r1	3.28901505364027	39.0	139.9513818542205	0.0	1641671.0
Sne-CCab_057-Ex1-6B-lcwgs-1-1.clmp.r2	2.6905614313026547	39.0	139.82640492522557	0.0	1641671.0
Sne-CCab_058-Ex1-6C-lcwgs-1-1.clmp.r1	3.645249959404083	38.0	141.84600545900048	0.0	2148745.0
Sne-CCab_058-Ex1-6C-lcwgs-1-1.clmp.r2	3.125671214992906	38.0	141.71522121052055	0.0	2148745.0
