#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2130172	2065128	96.94	2155	0.10	603	0.03	6716	0.32	55570	2.61
Ecoli	2130172	2130171	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	2130172	2130172	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2130172	2130126	100.00	0	0.00	0	0.00	2	0.00	44	0.00
Vectors	2130172	2122868	99.66	4	0.00	1	0.00	435	0.02	6864	0.32
Bacteria_24k	2130172	2088347	98.04	1018	0.05	1123	0.05	3508	0.16	36176	1.70
Protists_1k	2130172	2034414	95.50	7635	0.36	14654	0.69	3167	0.15	70302	3.30
Viruses	2130172	2096991	98.45	65	0.00	27	0.00	2970	0.14	30119	1.41
Fungi_RefSeq_release	2130172	2063422	96.87	1531	0.07	471	0.02	6841	0.32	57907	2.72
Coral	2130172	2087613	98.01	282	0.01	61	0.00	4915	0.23	37301	1.75
Bird	2130172	2077046	97.50	1227	0.06	345	0.02	6495	0.30	45059	2.12
Plant	2130172	2091872	98.21	265	0.01	61	0.00	4651	0.22	33323	1.56

%Hit_no_genomes: 94.92
