#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	772226	745643	96.56	798	0.10	228	0.03	2690	0.35	22867	2.96
Ecoli	772226	772226	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	772226	772226	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	772226	772177	99.99	0	0.00	0	0.00	1	0.00	48	0.01
Vectors	772226	769185	99.61	3	0.00	1	0.00	164	0.02	2873	0.37
Bacteria_24k	772226	755580	97.84	291	0.04	383	0.05	1464	0.19	14508	1.88
Protists_1k	772226	732796	94.89	2943	0.38	6172	0.80	1238	0.16	29077	3.77
Viruses	772226	759022	98.29	31	0.00	8	0.00	1198	0.16	11967	1.55
Fungi_RefSeq_release	772226	744660	96.43	615	0.08	181	0.02	2979	0.39	23791	3.08
Coral	772226	754929	97.77	115	0.01	26	0.00	2085	0.27	15071	1.95
Bird	772226	750545	97.19	440	0.06	132	0.02	2738	0.35	18371	2.38
Plant	772226	756478	97.97	104	0.01	19	0.00	1956	0.25	13669	1.77

%Hit_no_genomes: 94.29
