#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	4899927	4750898	96.96	7487	0.15	1713	0.03	19999	0.41	119830	2.45
Ecoli	4899927	4899910	100.00	0	0.00	0	0.00	5	0.00	12	0.00
PhiX	4899927	4899927	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	4899927	4899642	99.99	0	0.00	0	0.00	14	0.00	271	0.01
Vectors	4899927	4887147	99.74	17	0.00	5	0.00	1402	0.03	11356	0.23
Bacteria_24k	4899927	4809656	98.16	5568	0.11	6189	0.13	9984	0.20	68530	1.40
Protists_1k	4899927	4669831	95.30	24983	0.51	37594	0.77	11524	0.24	155995	3.18
Viruses	4899927	4840030	98.79	143	0.00	67	0.00	7545	0.15	52142	1.06
Fungi_RefSeq_release	4899927	4752195	96.98	4923	0.10	952	0.02	21476	0.44	120381	2.46
Coral	4899927	4809014	98.14	950	0.02	153	0.00	15436	0.32	74374	1.52
Bird	4899927	4782119	97.58	3232	0.07	813	0.02	19375	0.40	94388	1.93
Plant	4899927	4821765	98.41	965	0.02	176	0.00	12931	0.26	64090	1.31

%Hit_no_genomes: 94.43
