Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Sne-ATaw_001-Ex1-lcwgs.clmp.r1r2_fastp	0.0	3.89231e-05	0.0	0.0	0.0	0.0	1.41539e-05	0.0	0.0	0.0	0.0	0.0	1.06154e-05	0.000226462	0.0	0.0	0.0	3.53846e-06	4.24616e-05	0.000134462	2.12308e-05	0.0	1.76923e-05	3.53846e-05	0.0005095389999999999	6.01539e-05	3.53846e-06	3.53846e-06	1.06154e-05	7.07693e-06	3.53846e-06	3.53846e-06	1.06154e-05	2.47921e-05	0.000258808	0.000507548	0.0	0.0	0.0	0.0	1.78813e-05	0.000107499	8.25924e-05	0.0005795080000000001	7.21756e-06	3.61902e-06	2.5411199999999998e-05	0.0	3.65528e-06	0.0	3.68429e-06	0.0	3.7176e-06	0.0	0.0	0.0	0.0	0.0	0.0	7.73571e-06	0.0	0.0	3.94819e-06	0.000163065	0.0	0.0	0.0	0.0	4.13858e-06	2.0870300000000002e-05	1.68431e-05	0.0	0.0	0.0	0.0	4.41171e-06	0.0	0.0	0.0	1.37825e-05	0.00019035700000000002	3.28501e-05	0.0	0.0	1.45525e-05	5.39693e-05	0.000119121	1.50654e-05	1.01635e-05	2.57148e-05	5.20606e-06	6.32478e-05	4.8033e-05	0.0	0.0	4.43714e-05	5.6200500000000005e-06	5.1257299999999995e-05	0.000542581	7.02182e-05	1.18645e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2847299999999995e-06	8.87819e-05	0.0	0.0	0.0	0.0	1.6017999999999998e-05	1.62799e-05	0.00011583800000000001	0.0	0.0	0.0	8.84449e-06	9.89662e-05	0.0	3.72574e-05	0.000142194	1.9298600000000002e-05	5.89426e-05	0.0	0.0	1.0379e-05	3.1730400000000004e-05	8.62568e-05	1.09979e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.2711100000000001e-05	0.00025954	7.96534e-05	8.21751e-05	0.0
Sne-ATaw_002-Ex1-lcwgs.clmp.r1r2_fastp	0.0	2.92262e-05	0.0	0.0	4.17517e-06	4.17517e-06	4.17517e-06	0.0	0.0	0.0	0.0	4.17517e-06	1.67007e-05	0.000221284	0.0	0.0	4.17517e-06	4.17517e-06	5.0101999999999996e-05	0.00037159	4.17517e-06	0.0	1.2525499999999999e-05	5.4277199999999996e-05	0.00102709	5.0101999999999996e-05	0.0	0.0	0.0	4.17517e-06	4.17517e-06	0.0	1.2525499999999999e-05	2.92448e-05	0.000493305	0.00118392	0.0	0.0	0.0	0.0	3.78028e-05	0.00010509899999999999	0.000147269	0.000922324	0.0	4.21992e-06	5.4916899999999996e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3038999999999996e-06	0.0	0.0	1.29837e-05	0.00022116199999999998	0.0	0.0	0.0	0.0	4.38284e-06	2.6357599999999996e-05	3.0822100000000004e-05	0.0	0.0	0.0	0.0	4.45802e-06	0.0	0.0	4.4937e-06	2.2529500000000002e-05	0.000298222	9.06259e-06	4.54417e-06	4.5573500000000005e-06	1.3712400000000001e-05	5.0426899999999997e-05	0.00031726700000000004	4.6120900000000004e-06	1.3878500000000001e-05	1.3921399999999999e-05	9.31008e-06	6.0704999999999996e-05	7.49524e-05	0.0	0.0	8.51463e-05	9.4919e-06	0.000171426	0.00107979	8.62927e-05	9.62063e-06	0.0	0.0	0.0	0.0	1.46862e-05	4.42168e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.04067e-06	0.0	0.000137129	0.0	0.0	0.0	0.0	0.0	5.7188399999999996e-05	0.000219235	0.0	0.0	0.0	5.308199999999999e-06	6.93044e-05	0.0	3.76538e-05	0.00017832	1.08585e-05	3.81913e-05	0.0	0.0	1.6626699999999998e-05	6.68839e-05	0.000140175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.98924e-05	0.000356325	4.8915199999999995e-05	0.00013121900000000002	0.0
Sne-ATaw_003-Ex1-lcwgs.clmp.r1r2_fastp	0.0	4.94958e-05	0.0	0.0	1.90368e-06	1.90368e-06	7.6147300000000005e-06	0.0	0.0	1.90368e-06	0.0	3.8073699999999998e-06	4.1881e-05	0.00039787	0.0	0.0	0.0	5.71105e-06	6.28216e-05	0.000384544	7.6147300000000005e-06	1.90368e-06	9.51842e-06	6.85326e-05	0.00104893	4.94958e-05	0.0	1.90368e-06	0.0	1.90368e-06	3.8073699999999998e-06	1.90368e-06	1.90368e-06	4.19046e-05	0.000586996	0.0015522499999999998	0.0	1.90929e-06	0.0	0.0	2.8694699999999998e-05	0.00014931299999999998	0.00019346999999999998	0.00120188	1.91823e-06	1.15179e-05	9.7975e-05	0.0	0.0	1.92568e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9403300000000003e-06	0.0	1.9446e-06	0.0	3.89823e-06	2.53696e-05	0.000332175	0.0	0.0	0.0	1.96446e-06	7.86909e-06	2.75824e-05	1.57849e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99959e-06	3.40557e-05	0.00037733	1.2065899999999999e-05	6.044760000000001e-06	1.21137e-05	2.6300200000000003e-05	9.93395e-05	0.000371798	6.1084799999999995e-06	1.63257e-05	6.54519e-05	1.84511e-05	6.370329999999999e-05	0.00012359600000000001	0.0	4.1402700000000004e-06	8.71671e-05	2.0807999999999998e-05	0.000191936	0.0011317	0.000167808	6.09986e-05	0.0	0.0	0.0	0.0	1.70746e-05	4.92383e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.18946e-06	1.3181299999999999e-05	0.000154306	0.0	0.0	0.0	4.47135e-06	8.975290000000001e-06	5.4050799999999994e-05	0.000287092	0.0	0.0	0.0	1.37765e-05	0.00011757400000000001	4.62979e-06	3.48692e-05	0.00021010299999999998	1.64126e-05	0.000105981	2.36578e-06	0.0	1.1941100000000002e-05	5.7599900000000004e-05	0.000178508	4.85041e-06	0.0	0.0	0.0	0.0	0.0	2.51937e-06	2.5408600000000003e-05	0.000363827	6.73558e-05	9.793849999999999e-05	0.0
Sne-ATaw_004-Ex1-lcwgs.clmp.r1r2_fastp	0.0	8.74406e-06	0.0	0.0	0.0	0.0	8.74406e-06	0.0	0.0	0.0	0.0	4.37203e-06	1.31161e-05	0.000131161	0.0	0.0	0.0	0.0	4.80923e-05	0.000144277	8.74406e-06	0.0	8.74406e-06	2.62322e-05	0.00045031899999999997	5.2464300000000005e-05	0.0	0.0	8.74406e-06	8.74406e-06	0.0	0.0	4.37203e-06	2.18817e-05	0.00026724699999999997	0.000491274	0.0	0.0	0.0	0.0	1.32636e-05	0.000128471	7.1035e-05	0.00044501400000000003	0.0	0.0	2.6923799999999998e-05	0.0	0.0	0.0	0.0	4.5690799999999995e-06	0.0	0.0	0.0	0.0	0.0	9.41199e-06	0.0	4.76179e-06	0.0	0.0	1.4566900000000001e-05	9.29087e-05	0.0	0.0	0.0	0.0	5.08454e-06	1.53848e-05	2.06964e-05	5.2215e-06	0.0	0.0	5.37536e-06	0.0	0.0	0.0	0.0	1.1344400000000001e-05	0.00013770999999999998	2.32238e-05	1.7628099999999998e-05	5.94858e-06	1.80707e-05	5.49097e-05	0.000154531	1.87937e-05	1.2700199999999999e-05	2.57533e-05	6.52944e-06	7.94792e-05	3.36022e-05	0.0	0.0	2.81252e-05	1.4283199999999999e-05	6.529390000000001e-05	0.000464447	2.2479e-05	2.28526e-05	0.0	0.0	0.0	0.0	2.48885e-05	5.06645e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.77733e-06	9.964549999999999e-05	0.0	0.0	0.0	0.0	0.0	5.60349e-05	0.000148652	0.0	0.0	0.0	1.24101e-05	6.336119999999999e-05	0.0	1.3218599999999999e-05	8.102e-05	1.3796600000000001e-05	4.22955e-05	1.44074e-05	0.0	0.0	1.53936e-05	0.000204705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000174695	3.9785e-05	6.16871e-05	0.0
Sne-ATaw_005-Ex1-lcwgs.clmp.r1r2_fastp	0.0	3.93923e-05	7.87847e-06	0.0	0.0	0.0	2.36354e-05	0.0	0.0	0.0	0.0	3.93923e-06	1.18177e-05	0.000165448	0.0	0.0	0.0	0.0	1.96962e-05	0.000189083	2.36354e-05	0.0	3.93923e-06	1.96962e-05	0.000456951	5.1210000000000006e-05	0.0	7.87847e-06	3.93923e-06	1.96962e-05	0.0	0.0	0.0	7.89064e-06	0.000181784	0.000498807	0.0	0.0	3.98315e-06	3.9923e-06	0.0	0.00013241200000000002	8.85171e-05	0.00046405200000000006	0.0	8.12243e-06	3.66768e-05	4.09004e-06	4.10562e-06	0.0	4.139419999999999e-06	0.0	0.0	0.0	0.0	0.0	0.0	4.28585e-06	0.0	8.67154e-06	0.0	4.389549999999999e-06	8.83596e-06	0.000137873	0.0	0.0	0.0	0.0	0.0	1.859e-05	1.4054099999999998e-05	0.0	4.7626e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.52272e-05	0.000169153	2.07093e-05	0.0	1.58545e-05	5.34069e-06	5.93771e-05	0.000185542	0.0	1.1160299999999999e-05	2.25765e-05	1.71296e-05	3.46633e-05	2.9233000000000003e-05	0.0	0.0	3.64013e-05	1.2288700000000001e-05	6.22361e-05	0.000397237	5.7501e-05	1.295e-05	0.0	0.0	0.0	0.0	6.94047e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.93903e-06	0.00012096700000000001	0.0	0.0	0.0	0.0	0.0	1.7777e-05	9.03926e-05	0.0	0.0	0.0	0.0	9.855669999999999e-06	0.0	2.04334e-05	0.00011445499999999999	2.11967e-05	1.0797099999999999e-05	0.0	0.0	0.0	4.66336e-05	2.37861e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4067e-05	0.000244072	4.40526e-05	7.57762e-05	0.0
Sne-ATaw_006-Ex1-lcwgs.clmp.r1r2_fastp	0.0	4.8849999999999995e-05	0.0	0.0	0.0	0.0	4.44091e-06	0.0	0.0	0.0	0.0	0.0	1.77636e-05	0.000190959	0.0	0.0	0.0	8.88182e-06	2.22046e-05	0.000204282	1.77636e-05	4.44091e-06	2.22046e-05	3.99682e-05	0.000581759	9.32591e-05	0.0	0.0	4.44091e-06	0.0	0.0	0.0	1.33227e-05	1.77878e-05	0.000311744	0.000655699	4.46825e-06	0.0	4.48517e-06	4.49437e-06	9.0087e-06	9.02987e-05	8.5999e-05	0.0006081179999999999	4.55094e-06	0.0	5.95251e-05	0.0	0.0	0.0	4.64469e-06	4.663480000000001e-06	0.0	0.0	0.0	0.0	0.0	4.798819999999999e-06	4.82528e-06	0.0	0.0	0.0	4.9441e-06	0.000144343	0.0	0.0	0.0	0.0	5.16611e-06	5.7290499999999996e-05	3.15119e-05	0.0	1.06902e-05	5.39453e-06	0.0	0.0	0.0	0.0	5.67064e-06	5.73168e-06	0.000185449	1.17219e-05	1.18572e-05	1.79958e-05	3.64268e-05	4.3024999999999995e-05	0.000186719	1.89113e-05	6.38573e-06	3.2353e-05	1.3116e-05	5.31843e-05	4.04467e-05	0.0	6.93567e-06	5.6297799999999995e-05	7.14168e-06	9.42412e-05	0.00064031	5.2317099999999994e-05	5.31348e-05	0.0	0.0	0.0	8.08996e-06	2.4670899999999998e-05	3.3442e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000136429	0.0	0.0	0.0	0.0	0.0	4.3372e-05	0.000143544	0.0	0.0	0.0	0.0	2.41978e-05	1.23271e-05	3.76823e-05	0.000179209	3.91389e-05	0.000132977	0.0	0.0	1.4093300000000001e-05	1.43727e-05	0.00011729100000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1819e-05	0.000370095	0.0	7.443289999999999e-05	0.0
Sne-ATaw_007-Ex1-lcwgs.clmp.r1r2_fastp	0.0	1.95714e-05	6.52379e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.52379e-06	1.95714e-05	0.00037838	0.0	0.0	0.0	6.52379e-06	1.95714e-05	0.000260952	0.0	0.0	1.30476e-05	5.21903e-05	0.0009785689999999999	2.60952e-05	0.0	0.0	0.0	6.52379e-06	0.0	0.0	6.52379e-06	5.22217e-05	0.00043763300000000004	0.00141184	0.0	0.0	0.0	0.0	1.9687799999999998e-05	0.000118238	8.547729999999999e-05	0.000908299	0.0	6.596520000000001e-06	9.90667e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.75463e-06	0.0	0.0	1.3605000000000001e-05	0.000265968	0.0	0.0	0.0	0.0	0.0	2.77383e-05	6.95573e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14565e-06	2.15157e-05	0.00039592	1.4451499999999999e-05	1.4506600000000001e-05	0.0	2.19304e-05	5.87133e-05	0.000331597	7.3993099999999995e-06	1.4859399999999999e-05	3.73037e-05	2.24778e-05	1.50498e-05	9.068849999999999e-05	0.0	7.6238199999999995e-06	9.189179999999999e-05	1.53847e-05	0.00017772	0.0011488000000000002	0.00016375500000000002	4.70032e-05	0.0	0.0	0.0	0.0	0.0	2.4182799999999998e-05	0.0	0.0	0.0	0.0	0.0	0.0	8.344210000000001e-06	8.38706e-06	0.000134873	0.0	0.0	0.0	0.0	0.0	2.6096e-05	0.00017492200000000002	0.0	0.0	0.0	8.94501e-06	8.09722e-05	1.8101100000000002e-05	4.553e-05	0.000247379	1.84391e-05	5.56762e-05	0.0	0.0	0.0	4.770000000000001e-05	0.000134564	2.90634e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.03566e-05	0.00031414	9.54887e-05	0.000108484	0.0
Sne-ATaw_008-Ex1-lcwgs.clmp.r1r2_fastp	0.0	1.5082900000000001e-05	0.0	0.0	5.02764e-06	0.0	5.02764e-06	0.0	0.0	0.0	0.0	0.0	5.02764e-06	0.00012066299999999999	0.0	0.0	0.0	1.00553e-05	2.01106e-05	0.00019105	3.01659e-05	5.02764e-06	1.00553e-05	4.52488e-05	0.000442432	8.04423e-05	0.0	0.0	1.5082900000000001e-05	1.00553e-05	5.02764e-06	0.0	1.00553e-05	1.51002e-05	0.00020159699999999997	0.00049967	5.055410000000001e-06	0.0	0.0	0.0	1.01937e-05	8.6864e-05	9.734670000000001e-05	0.00045732499999999996	0.0	5.1719500000000005e-06	1.55709e-05	5.20981e-06	0.0	0.0	5.27557e-06	5.29988e-06	5.32559e-06	0.0	0.0	0.0	0.0	5.4754e-06	0.0	5.5449999999999994e-06	5.58191e-06	0.0	0.0	0.000125472	0.0	0.0	0.0	0.0	0.0	2.39749e-05	0.0	0.0	0.0	0.0	1.25822e-05	0.0	0.0	0.0	0.0	1.99427e-05	0.000181612	3.40369e-05	6.89127e-06	2.09341e-05	7.06795e-06	6.44479e-05	0.000159661	0.0	0.0	2.26967e-05	7.67497e-06	5.4514999999999996e-05	7.90399e-05	0.0	8.14896e-06	3.31093e-05	1.68203e-05	7.69345e-05	0.000512712	5.30145e-05	8.98596e-06	0.0	0.0	0.0	0.0	0.0	9.98885e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000153765	0.0	0.0	0.0	0.0	0.0	2.6629e-05	0.000163018	0.0	0.0	0.0	0.0	4.51113e-05	1.53508e-05	4.70197e-05	0.000144032	1.6337699999999998e-05	0.0	0.0	0.0	0.0	3.62872e-05	5.5598000000000005e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.15281e-05	4.4008e-05	0.000247162	4.59683e-05	7.10955e-05	0.0
Sne-ATaw_009-Ex1-lcwgs.clmp.r1r2_fastp	0.0	7.6216e-05	7.6216e-06	0.0	3.8108e-06	0.0	1.9054e-05	0.0	0.0	0.0	0.0	3.8108e-06	3.8108e-06	0.000171486	0.0	0.0	0.0	1.14324e-05	5.7162e-05	0.000251513	1.52432e-05	1.14324e-05	1.9054e-05	3.42972e-05	0.00038108	6.09728e-05	0.0	3.8108e-06	1.14324e-05	1.52432e-05	7.6216e-06	1.14324e-05	3.8108e-06	1.9072e-05	0.00022909500000000001	0.000500736	3.8270800000000005e-06	0.0	0.0	0.0	2.31005e-05	8.87045e-05	8.88683e-05	0.0005536359999999999	3.8800399999999995e-06	0.0	5.8487800000000006e-05	0.0	3.9213399999999995e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06361e-06	4.08396e-06	4.10514e-06	0.0	0.0	4.1746799999999995e-06	0.000142794	0.0	0.0	0.0	0.0	4.34186e-06	3.49879e-05	2.20325e-05	0.0	0.0	0.0	0.0	0.0	4.6309899999999995e-06	0.0	4.71715e-06	1.42871e-05	0.000125037	2.42878e-05	1.47231e-05	1.9837e-05	2.50632e-05	6.0813800000000004e-05	0.000220377	1.03682e-05	1.5735099999999998e-05	4.7772299999999997e-05	5.3732000000000005e-06	4.35259e-05	4.95964e-05	0.0	1.1315200000000001e-05	4.0145700000000004e-05	5.8152100000000005e-06	2.9489600000000003e-05	0.000370976	6.67913e-05	1.23259e-05	0.0	0.0	0.0	0.0	6.66736e-06	4.74455e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.657e-06	7.79893e-06	3.97245e-05	0.0	0.0	0.0	0.0	0.0	2.6781699999999998e-05	0.000145764	0.0	0.0	0.0	0.0	6.06993e-05	1.03385e-05	4.22689e-05	0.000183665	1.10485e-05	0.000101718	0.0	0.0	0.0	3.72205e-05	0.00012710100000000002	1.30271e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.5546e-05	0.000143457	6.55008e-05	6.7897e-05	0.0
Sne-ATaw_010-Ex1-lcwgs.clmp.r1r2_fastp	0.0	7.53765e-05	0.0	0.0	3.76882e-06	0.0	7.53765e-06	0.0	0.0	0.0	0.0	0.0	1.50753e-05	0.000173366	0.0	0.0	0.0	3.76882e-06	2.26129e-05	0.000207285	1.50753e-05	3.76882e-06	7.53765e-06	4.14571e-05	0.000610549	6.78388e-05	0.0	7.53765e-06	3.76882e-06	1.50753e-05	3.76882e-06	3.76882e-06	0.0	1.8860999999999998e-05	0.000275635	0.0007824030000000001	0.0	0.0	0.0	7.59796e-06	1.90232e-05	0.000106692	9.15992e-05	0.000684378	0.0	3.83864e-06	5.0013e-05	0.0	3.86642e-06	0.0	0.0	7.80054e-06	3.91299e-06	0.0	0.0	0.0	0.0	7.9764e-06	0.0	0.0	0.0	0.0	8.16271e-06	0.000151786	0.0	0.0	0.0	4.1935e-06	8.43604e-06	2.12166e-05	8.53841e-06	0.0	0.0	0.0	0.0	4.41009e-06	0.0	0.0	0.0	4.53645e-06	0.000283325	1.84156e-05	4.638639999999999e-06	9.348649999999999e-06	1.41323e-05	8.54649e-05	0.00020102	1.44762e-05	1.4595400000000001e-05	3.92461e-05	1.48412e-05	4.9892400000000004e-05	6.54189e-05	0.0	0.0	4.6503e-05	5.21388e-06	7.36585e-05	0.000642497	6.96728e-05	2.16388e-05	0.0	0.0	0.0	0.0	1.1352599999999999e-05	2.86627e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24398e-05	0.000125719	0.0	0.0	0.0	0.0	6.63677e-06	2.6844100000000003e-05	0.00022398	0.0	0.0	0.0	7.11194e-06	7.19817e-05	0.0	6.640960000000001e-05	0.00014945600000000001	0.0	3.06806e-05	7.77294e-06	0.0	1.59781e-05	4.8614899999999994e-05	0.000131522	8.34313e-06	0.0	0.0	0.0	0.0	0.0	0.0	9.32678e-06	0.00020859400000000002	4.82863e-05	4.9622099999999994e-05	0.0
