Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Sne-ATaw_001-Ex1-lcwgs.clmp.r1r2_fastp	2.38517	0.931268	5819417233.0	0.440505	98.95623215948129	1.0225170495666558
Sne-ATaw_002-Ex1-lcwgs.clmp.r1r2_fastp	5.37691	0.918991	5980743965.0	0.650136	98.59990141293038	0.6372714616451097
Sne-ATaw_003-Ex1-lcwgs.clmp.r1r2_fastp	6.08648	0.91478	13368931115.0	0.623243	98.49018652836199	0.5307227998635567
Sne-ATaw_004-Ex1-lcwgs.clmp.r1r2_fastp	3.5403200000000004	0.932144	4618954206.0	0.419144	98.95921567385484	1.1203274728832935
Sne-ATaw_005-Ex1-lcwgs.clmp.r1r2_fastp	3.1644400000000004	0.928369	5230576026.0	0.410884	98.77231317783853	1.1169642794610988
Sne-ATaw_006-Ex1-lcwgs.clmp.r1r2_fastp	8.439119999999999	0.927368	4568714039.0	0.465038	98.43623924193187	1.263375483298334
Sne-ATaw_007-Ex1-lcwgs.clmp.r1r2_fastp	4.58868	0.921415	3738269757.0	0.627309	98.82140929058141	0.7198935074650633
Sne-ATaw_008-Ex1-lcwgs.clmp.r1r2_fastp	3.9855099999999997	0.935106	3982366008.0	0.468441	98.95566412077324	1.2600727235603708
Sne-ATaw_009-Ex1-lcwgs.clmp.r1r2_fastp	4.55676	0.929221	5424052265.0	0.396463	98.91637613193575	1.0770800043877058
Sne-ATaw_010-Ex1-lcwgs.clmp.r1r2_fastp	3.4966999999999997	0.927536	5870863144.0	0.520627	98.8152147851947	0.9626459008913355
Sne-ATaw_011-Ex1-lcwgs.clmp.r1r2_fastp	4.79558	0.929461	5165614340.0	0.367757	98.97112043437077	1.287658376696865
Sne-ATaw_012-Ex1-lcwgs.clmp.r1r2_fastp	2.38747	0.927014	5043990340.0	0.529149	98.7932748585707	0.9633260019866777
Sne-ATaw_013-Ex1-lcwgs.clmp.r1r2_fastp	2.41594	0.928562	4916776289.0	0.474387	98.71360817336448	1.1588737504480047
Sne-ATaw_014-Ex1-lcwgs.clmp.r1r2_fastp	7.84267	0.92475	4772125973.0	0.397896	98.85683800787733	1.1139199050064794
Sne-ATaw_015-Ex1-lcwgs.clmp.r1r2_fastp	11.0414	0.919641	2650107202.0	0.514504	98.49825308569453	1.2339669580767665
Sne-ATaw_016-Ex1-lcwgs.clmp.r1r2_fastp	4.81381	0.928769	3666639321.0	0.423222	98.76054216694389	1.2914823814967087
Sne-ATaw_017-Ex1-lcwgs.clmp.r1r2_fastp	3.4164600000000003	0.93042	6604156562.0	0.433822	99.00329249051009	0.9762463737306055
Sne-ATaw_018-Ex1-lcwgs.clmp.r1r2_fastp	3.3926900000000004	0.928098	8327786038.0	0.411976	98.88066265136246	1.0209475713619982
Sne-ATaw_019-Ex1-lcwgs.clmp.r1r2_fastp	3.06299	0.918735	4121448650.0	0.6173	98.70763479516498	0.6708375753776404
Sne-ATaw_020-Ex1-lcwgs.clmp.r1r2_fastp	5.34055	0.928023	5463050270.0	0.413787	98.97835666163961	0.9623563690728318
Sne-ATaw_021-Ex1-lcwgs.clmp.r1r2_fastp	2.59126	0.929647	5417625210.0	0.447482	98.91666111531691	1.0525845942386463
Sne-ATaw_022-Ex1-lcwgs.clmp.r1r2_fastp	2.78059	0.937031	4887022368.0	0.368984	99.11567489350844	1.1005727082224406
Sne-ATaw_023-Ex1-lcwgs.clmp.r1r2_fastp	6.42266	0.925816	5036504147.0	0.427629	98.82694171291723	1.1110507968970058
Sne-ATaw_024-Ex1-lcwgs.clmp.r1r2_fastp	4.18391	0.933386	4452242427.0	0.461245	98.89056163477514	1.2893501648216221
Sne-ATaw_025-Ex1-lcwgs.clmp.r1r2_fastp	1.8567899999999997	0.939202	5101153120.0	0.371118	99.19256203560445	1.13368126685964
Sne-ATaw_026-Ex1-lcwgs.clmp.r1r2_fastp	5.18364	0.930892	6961637960.0	0.3919	99.17488842894913	0.9392872782691207
