#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	6673982	6553278	98.19	4811	0.07	1395	0.02	13799	0.21	100699	1.51
Ecoli	6673982	6673964	100.00	0	0.00	0	0.00	5	0.00	13	0.00
PhiX	6673982	6673982	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	6673982	6673982	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	6673982	6665950	99.88	3	0.00	1	0.00	209	0.00	7819	0.12
Bacteria_24k	6673982	6584538	98.65	6648	0.10	7266	0.11	7103	0.11	68427	1.03
Protists_1k	6673982	6477380	97.06	17985	0.27	34891	0.52	8613	0.13	135113	2.02
Viruses	6673982	6615956	99.14	179	0.00	55	0.00	5651	0.08	52141	0.78
Fungi_RefSeq_release	6673982	6551487	98.17	3386	0.05	959	0.01	13846	0.21	104304	1.56
Coral	6673982	6597109	98.85	664	0.01	186	0.00	9442	0.14	66581	1.00
Bird	6673982	6579917	98.59	2855	0.04	765	0.01	12352	0.19	78093	1.17
Plant	6673982	6608361	99.02	643	0.01	136	0.00	8581	0.13	56261	0.84

%Hit_no_genomes: 96.52
