Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Sne-ATaw_001-Ex1-lcwgs.clmp.r1r2_fastp	0.0	4.61577e-05	0.0	0.0	0.0	0.0	1.15394e-05	0.0	0.0	0.0	0.0	0.0	2.30789e-05	0.000438498	0.0	0.0	0.0	1.15394e-05	4.61577e-05	0.000150013	1.15394e-05	0.0	0.0	3.46183e-05	0.0008192999999999999	6.92366e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15394e-05	0.000323104	0.0009116150000000001	0.0	0.0	0.0	0.0	1.15394e-05	0.00013847300000000001	0.000103855	0.0010154699999999999	0.0	1.15394e-05	2.30789e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15394e-05	0.0	0.0	0.0	0.000265407	0.0	0.0	0.0	0.0	0.0	2.30789e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15394e-05	0.000311565	1.15394e-05	0.0	0.0	1.15394e-05	6.92366e-05	0.000103855	1.15394e-05	0.0	3.46183e-05	0.0	5.76972e-05	4.61577e-05	0.0	0.0	4.61577e-05	1.15394e-05	5.76972e-05	0.0007385240000000001	3.46183e-05	2.30789e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0776e-05	0.0	0.0	0.0	0.0	1.15394e-05	0.0	0.00013847300000000001	0.0	0.0	0.0	0.0	0.000103855	0.0	3.46183e-05	0.00013847300000000001	2.30789e-05	4.61577e-05	0.0	0.0	1.15394e-05	2.30789e-05	9.231550000000001e-05	1.15394e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.30561e-05	0.000253216	8.177509999999999e-05	7.024619999999999e-05	0.0
Sne-ATaw_002-Ex1-lcwgs.clmp.r1r2_fastp	0.0	2.3307999999999998e-05	0.0	0.0	0.0	5.8269999999999994e-06	5.8269999999999994e-06	0.0	0.0	0.0	0.0	5.8269999999999994e-06	1.7480999999999997e-05	0.00024473400000000003	0.0	0.0	0.0	0.0	3.4961999999999995e-05	0.000361274	5.8269999999999994e-06	0.0	1.1653999999999999e-05	4.6615999999999995e-05	0.00124698	4.6615999999999995e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3307999999999998e-05	0.000547738	0.00143344	0.0	0.0	0.0	0.0	2.9135e-05	6.4097e-05	0.00013402099999999998	0.00107217	0.0	0.0	6.4097e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8269999999999994e-06	0.0	0.0	1.7480999999999997e-05	0.000256388	0.0	0.0	0.0	0.0	5.8269999999999994e-06	2.3307999999999998e-05	2.9135e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8269999999999994e-06	1.1653999999999999e-05	0.000326312	1.1653999999999999e-05	0.0	0.0	1.1653999999999999e-05	3.4961999999999995e-05	0.00027969599999999996	5.8269999999999994e-06	1.1653999999999999e-05	1.7480999999999997e-05	1.1653999999999999e-05	5.2443e-05	6.992399999999999e-05	0.0	0.0	8.740500000000001e-05	1.1653999999999999e-05	0.00016898300000000002	0.00113044	8.740500000000001e-05	1.1653999999999999e-05	0.0	0.0	0.0	0.0	1.1653999999999999e-05	2.9135e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013402099999999998	0.0	0.0	0.0	0.0	0.0	6.4097e-05	0.000198118	0.0	0.0	0.0	5.8269999999999994e-06	5.827e-05	0.0	3.4961999999999995e-05	0.00017481000000000002	5.8269999999999994e-06	4.0789e-05	0.0	0.0	1.1653999999999999e-05	6.4097e-05	0.00013984799999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0639199999999996e-05	0.000340428	4.3856799999999997e-05	0.00012799100000000002	0.0
Sne-ATaw_003-Ex1-lcwgs.clmp.r1r2_fastp	0.0	5.01252e-05	0.0	0.0	2.5062599999999998e-06	2.5062599999999998e-06	7.5187699999999995e-06	0.0	0.0	0.0	0.0	2.5062599999999998e-06	4.76189e-05	0.00042857	0.0	0.0	0.0	0.0	5.76439e-05	0.00038847	1.0025e-05	0.0	2.5062599999999998e-06	7.518769999999999e-05	0.00120802	4.76189e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.5062599999999998e-06	4.01001e-05	0.000666665	0.0018070099999999997	0.0	0.0	0.0	0.0	2.00501e-05	0.00011278199999999999	0.000200501	0.00138847	2.5062599999999998e-06	1.50375e-05	0.00011528800000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5062599999999998e-06	0.0	0.0	0.0	2.5062599999999998e-06	3.0075100000000003e-05	0.00033834500000000004	0.0	0.0	0.0	0.0	2.5062599999999998e-06	1.75438e-05	7.5187699999999995e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5062599999999998e-06	3.0075100000000003e-05	0.00040852000000000005	2.5062599999999998e-06	2.5062599999999998e-06	1.0025e-05	2.50626e-05	8.02002e-05	0.000325814	2.5062599999999998e-06	1.0025e-05	5.01252e-05	1.75438e-05	4.51126e-05	0.000127819	0.0	5.0125199999999996e-06	9.27315e-05	2.50626e-05	0.000215538	0.00123809	0.000157894	6.766899999999999e-05	0.0	0.0	0.0	0.0	1.25313e-05	3.50876e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.5062599999999998e-06	1.0025e-05	0.0001604	0.0	0.0	0.0	2.5062599999999998e-06	1.0025e-05	4.51126e-05	0.000243107	0.0	0.0	0.0	1.50375e-05	0.000122807	5.0125199999999996e-06	3.75939e-05	0.000187969	1.75438e-05	0.00010025	2.5062599999999998e-06	0.0	1.25313e-05	6.0150200000000006e-05	0.00016791900000000002	5.0125199999999996e-06	0.0	0.0	0.0	0.0	0.0	2.58695e-06	2.60866e-05	0.00036822	6.38092e-05	9.502700000000001e-05	0.0
Sne-ATaw_004-Ex1-lcwgs.clmp.r1r2_fastp	0.0	1.69943e-05	0.0	0.0	0.0	0.0	1.69943e-05	0.0	0.0	0.0	0.0	1.69943e-05	0.0	0.000254914	0.0	0.0	0.0	0.0	3.3988499999999995e-05	0.00013595399999999998	0.0	0.0	0.0	6.797699999999999e-05	0.000951679	5.09828e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3988499999999995e-05	0.000390868	0.0011726	0.0	0.0	0.0	0.0	1.69943e-05	0.00010196599999999999	8.49713e-05	0.0009686730000000001	0.0	0.0	8.49713e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3988499999999995e-05	0.00013595399999999998	0.0	0.0	0.0	0.0	0.0	0.0	1.69943e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69943e-05	0.000203931	0.0	0.0	0.0	0.0	3.3988499999999995e-05	0.00022092500000000002	0.0	1.69943e-05	3.3988499999999995e-05	0.0	0.00010196599999999999	1.69943e-05	0.0	0.0	3.3988499999999995e-05	1.69943e-05	8.49713e-05	0.0007987300000000001	5.09828e-05	3.3988499999999995e-05	0.0	0.0	0.0	0.0	0.0	8.49713e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.49713e-05	0.0	0.0	0.0	0.0	0.0	6.797699999999999e-05	0.000152948	0.0	0.0	0.0	1.69943e-05	5.09828e-05	0.0	1.69943e-05	8.49713e-05	0.0	5.09828e-05	1.69943e-05	0.0	0.0	1.69943e-05	0.000186937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017978299999999998	2.04645e-05	6.34035e-05	0.0
Sne-ATaw_005-Ex1-lcwgs.clmp.r1r2_fastp	0.0	6.40564e-05	0.0	0.0	0.0	0.0	5.12452e-05	0.0	0.0	0.0	0.0	0.0	1.28113e-05	0.00029466	0.0	0.0	0.0	0.0	3.84339e-05	0.00035871599999999997	1.28113e-05	0.0	0.0	2.56226e-05	0.0008711680000000001	1.28113e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56226e-05	0.000281848	0.000973658	0.0	0.0	0.0	0.0	0.0	8.967899999999999e-05	0.00010248999999999999	0.000730243	0.0	0.0	5.12452e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56226e-05	0.00020498100000000002	0.0	0.0	0.0	0.0	0.0	2.56226e-05	1.28113e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28113e-05	0.00020498100000000002	0.0	0.0	0.0	1.28113e-05	5.12452e-05	0.00023060300000000001	0.0	1.28113e-05	3.84339e-05	1.28113e-05	3.84339e-05	2.56226e-05	0.0	0.0	3.84339e-05	1.28113e-05	5.12452e-05	0.00049964	6.40564e-05	2.56226e-05	0.0	0.0	0.0	0.0	1.28113e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000153735	0.0	0.0	0.0	0.0	0.0	1.28113e-05	0.00010248999999999999	0.0	0.0	0.0	0.0	1.28113e-05	0.0	1.28113e-05	0.000140924	1.28113e-05	1.28113e-05	0.0	0.0	0.0	3.84339e-05	2.56226e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45246e-05	0.000251972	3.03086e-05	7.81281e-05	0.0
Sne-ATaw_006-Ex1-lcwgs.clmp.r1r2_fastp	0.0	3.15973e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15973e-05	0.00026857700000000004	0.0	0.0	0.0	0.0	1.57987e-05	0.00034757099999999997	0.0	0.0	0.0	6.31947e-05	0.0012007	9.4792e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57987e-05	0.000600349	0.00143768	0.0	0.0	0.0	0.0	1.57987e-05	6.31947e-05	0.000173785	0.00137448	0.0	0.0	6.31947e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221181	0.0	0.0	0.0	0.0	0.0	1.57987e-05	3.15973e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57987e-05	0.000284376	0.0	0.0	0.0	3.15973e-05	7.89933e-05	0.000189584	1.57987e-05	0.0	1.57987e-05	1.57987e-05	4.7396e-05	3.15973e-05	0.0	1.57987e-05	7.89933e-05	1.57987e-05	0.000142188	0.0008689269999999999	7.89933e-05	6.31947e-05	0.0	0.0	0.0	0.0	4.7396e-05	3.15973e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000157987	0.0	0.0	0.0	0.0	0.0	4.7396e-05	0.000157987	0.0	0.0	0.0	0.0	1.57987e-05	1.57987e-05	1.57987e-05	0.000142188	4.7396e-05	9.4792e-05	0.0	0.0	1.57987e-05	1.57987e-05	0.000126389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.35673e-05	0.000327868	0.0	7.68303e-05	0.0
Sne-ATaw_007-Ex1-lcwgs.clmp.r1r2_fastp	0.0	2.00088e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00044e-05	0.00047020799999999995	0.0	0.0	0.0	1.00044e-05	0.0	0.000250111	0.0	0.0	0.0	8.00354e-05	0.00126056	1.00044e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.00044e-05	3.00133e-05	0.0005402390000000001	0.00192085	0.0	0.0	0.0	0.0	1.00044e-05	9.00398e-05	7.0031e-05	0.00123054	0.0	0.0	0.000100044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00044e-05	0.0	0.0	1.00044e-05	0.000310137	0.0	0.0	0.0	0.0	0.0	2.00088e-05	1.00044e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00044e-05	3.00133e-05	0.00047020799999999995	1.00044e-05	0.0	0.0	0.0	6.00265e-05	0.00033014599999999997	1.00044e-05	1.00044e-05	4.00177e-05	1.00044e-05	2.00088e-05	9.00398e-05	0.0	1.00044e-05	0.000100044	2.00088e-05	0.00019008399999999998	0.00134059	0.000120053	6.00265e-05	0.0	0.0	0.0	0.0	0.0	3.00133e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.00044e-05	1.00044e-05	0.000160071	0.0	0.0	0.0	0.0	0.0	2.00088e-05	0.000170075	0.0	0.0	0.0	1.00044e-05	8.00354e-05	1.00044e-05	4.00177e-05	0.000250111	1.00044e-05	5.0022100000000003e-05	0.0	0.0	0.0	3.00133e-05	0.000130058	3.00133e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.06001e-05	0.000300059	7.599310000000001e-05	9.98498e-05	0.0
Sne-ATaw_008-Ex1-lcwgs.clmp.r1r2_fastp	0.0	1.97919e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97919e-05	0.000257295	0.0	0.0	0.0	1.97919e-05	0.0	0.000376046	0.0	0.0	0.0	3.95838e-05	0.00104897	9.895950000000001e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97919e-05	0.000356254	0.00112814	0.0	0.0	0.0	0.0	1.97919e-05	7.91676e-05	0.000158335	0.000910428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97919e-05	0.0	0.0	0.0	0.0	0.0	0.000178127	0.0	0.0	0.0	0.0	0.0	1.97919e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.95838e-05	0.000356254	0.0	0.0	3.95838e-05	0.0	9.895950000000001e-05	0.000138543	0.0	0.0	1.97919e-05	0.0	7.91676e-05	0.000178127	0.0	0.0	7.91676e-05	1.97919e-05	9.895950000000001e-05	0.0008708440000000001	5.93757e-05	1.97919e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019791900000000001	0.0	0.0	0.0	0.0	0.0	3.95838e-05	0.000178127	0.0	0.0	0.0	0.0	5.93757e-05	0.0	3.95838e-05	9.895950000000001e-05	0.0	0.0	0.0	0.0	0.0	3.95838e-05	3.95838e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.2014499999999997e-05	4.49978e-05	0.00025268800000000004	4.69824e-05	7.26148e-05	0.0
Sne-ATaw_009-Ex1-lcwgs.clmp.r1r2_fastp	0.0	0.000124093	0.0	0.0	1.37881e-05	0.0	2.75762e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000358491	0.0	0.0	0.0	1.37881e-05	6.89406e-05	0.000358491	1.37881e-05	0.0	0.0	4.13644e-05	0.000758346	8.272869999999999e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000330915	0.00095138	0.0	0.0	0.0	0.0	1.37881e-05	0.00013788100000000002	0.000124093	0.00107547	0.0	0.0	5.51525e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000165457	0.0	0.0	0.0	0.0	0.0	0.0	1.37881e-05	0.0	0.0	0.0	0.0	0.0	1.37881e-05	0.0	1.37881e-05	1.37881e-05	0.000151669	1.37881e-05	0.0	1.37881e-05	1.37881e-05	4.13644e-05	0.00023439799999999997	1.37881e-05	0.0	2.75762e-05	0.0	4.13644e-05	2.75762e-05	0.0	0.0	5.51525e-05	1.37881e-05	2.75762e-05	0.000496372	0.000110305	1.37881e-05	0.0	0.0	0.0	0.0	1.37881e-05	1.37881e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.37881e-05	1.37881e-05	5.51525e-05	0.0	0.0	0.0	0.0	0.0	2.75762e-05	0.000151669	0.0	0.0	0.0	0.0	4.13644e-05	1.37881e-05	2.75762e-05	0.00019303399999999997	1.37881e-05	9.651680000000001e-05	0.0	0.0	0.0	4.13644e-05	0.000124093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000147878	5.0618900000000004e-05	5.24177e-05	0.0
Sne-ATaw_010-Ex1-lcwgs.clmp.r1r2_fastp	0.0	7.81793e-05	0.0	0.0	8.68659e-06	0.0	8.68659e-06	0.0	0.0	0.0	0.0	0.0	2.6059799999999997e-05	0.000251911	0.0	0.0	0.0	8.68659e-06	1.73732e-05	0.000260598	0.0	0.0	0.0	5.2119499999999995e-05	0.00106845	3.47464e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73732e-05	0.00037352299999999995	0.00137248	0.0	0.0	0.0	0.0	1.73732e-05	8.68659e-05	0.000121612	0.00107714	0.0	8.68659e-06	6.08061e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.68659e-06	0.000217165	0.0	0.0	0.0	0.0	0.0	8.68659e-06	8.68659e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.68659e-06	0.000338777	8.68659e-06	8.68659e-06	8.68659e-06	8.68659e-06	6.94927e-05	0.000173732	8.68659e-06	8.68659e-06	4.34329e-05	0.0	4.34329e-05	0.00010423899999999999	0.0	0.0	6.08061e-05	8.68659e-06	0.00011292600000000001	0.00076442	8.68659e-05	3.47464e-05	0.0	0.0	0.0	0.0	0.0	3.47464e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.68659e-06	0.000130299	0.0	0.0	0.0	0.0	8.68659e-06	8.68659e-06	0.000225851	0.0	0.0	0.0	8.68659e-06	8.68659e-05	0.0	4.34329e-05	0.000130299	0.0	2.6059799999999997e-05	8.68659e-06	0.0	8.68659e-06	2.6059799999999997e-05	0.000130299	8.68659e-06	0.0	0.0	0.0	0.0	0.0	0.0	9.55937e-06	0.000204056	4.9473699999999994e-05	5.08118e-05	0.0
