#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	383774	377207	98.28	290	0.08	68	0.02	794	0.21	5415	1.41
Ecoli	383774	383688	99.97	0	0.00	0	0.00	26	0.01	60	0.02
PhiX	383774	383774	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	383774	383764	100.00	0	0.00	0	0.00	1	0.00	9	0.00
Vectors	383774	383141	99.84	1	0.00	0	0.00	41	0.01	591	0.15
Bacteria_24k	383774	294518	76.74	13392	3.49	47320	12.33	2341	0.61	26203	6.83
Protists_1k	383774	344434	89.74	5667	1.48	1517	0.40	15624	4.07	16532	4.31
Viruses	383774	380288	99.10	12	0.00	7	0.00	506	0.13	2961	0.77
Fungi_RefSeq_release	383774	377070	98.25	207	0.05	42	0.01	1099	0.29	5356	1.40
Coral	383774	380001	99.02	30	0.01	4	0.00	554	0.14	3185	0.83
Bird	383774	378889	98.73	99	0.03	17	0.00	897	0.23	3872	1.01
Plant	383774	379813	98.96	24	0.01	7	0.00	519	0.14	3411	0.89

%Hit_no_genomes: 73.61
