#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	6542227	6362956	97.27	6621	0.10	1510	0.02	21780	0.33	149360	2.28
Ecoli	6542227	6542199	100.00	0	0.00	0	0.00	8	0.00	20	0.00
PhiX	6542227	6542227	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	6542227	6542046	100.00	0	0.00	0	0.00	9	0.00	172	0.00
Vectors	6542227	6522978	99.70	7	0.00	1	0.00	1029	0.02	18212	0.28
Bacteria_24k	6542227	6426884	98.23	6691	0.10	18182	0.28	10888	0.17	79582	1.22
Protists_1k	6542227	6278655	95.96	25236	0.39	35157	0.54	13775	0.21	189404	2.90
Viruses	6542227	6462034	98.78	154	0.00	41	0.00	9355	0.14	70643	1.08
Fungi_RefSeq_release	6542227	6366347	97.31	4916	0.08	972	0.01	22992	0.35	147000	2.25
Coral	6542227	6441086	98.46	697	0.01	144	0.00	16494	0.25	83806	1.28
Bird	6542227	6412104	98.00	3160	0.05	519	0.01	22091	0.34	104353	1.60
Plant	6542227	6433052	98.33	713	0.01	131	0.00	14409	0.22	93922	1.44

%Hit_no_genomes: 95.17
