Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sob-APnd_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r1_screen	4657.0	8192.0	1352.0	856.0	609.0	138.0	133.0	41.0	3.0	0.0	40561.0	828299.0
Sob-APnd_001-Ex1-1A-lcwgs-1-T.clmp.fp2_r2_screen	4666.0	8299.0	1278.0	849.0	586.0	131.0	108.0	40.0	5.0	0.0	40226.0	828653.0
Sob-APnd_002-Ex1-2A-lcwgs-1-T.clmp.fp2_r1_screen	5355.0	1768.0	247.0	133.0	137.0	21.0	22.0	14.0	3.0	0.0	11543.0	191054.0
Sob-APnd_002-Ex1-2A-lcwgs-1-T.clmp.fp2_r2_screen	5352.0	1709.0	257.0	155.0	135.0	21.0	23.0	14.0	2.0	0.0	11406.0	191223.0
Sob-APnd_003-Ex1-3A-lcwgs-1-T.clmp.fp2_r1_screen	6162.0	3381.0	618.0	370.0	277.0	57.0	55.0	23.0	1.0	0.0	14903.0	505969.0
Sob-APnd_003-Ex1-3A-lcwgs-1-T.clmp.fp2_r2_screen	6131.0	3496.0	610.0	321.0	296.0	54.0	52.0	38.0	12.0	0.0	14730.0	506076.0
Sob-APnd_004-Ex1-4A-lcwgs-1-T.clmp.fp2_r1_screen	10051.0	4981.0	809.0	497.0	346.0	107.0	78.0	25.0	1.0	0.0	25257.0	515403.0
Sob-APnd_004-Ex1-4A-lcwgs-1-T.clmp.fp2_r2_screen	10022.0	4958.0	770.0	461.0	322.0	72.0	81.0	34.0	3.0	0.0	24927.0	515905.0
Sob-APnd_005-Ex1-5A-lcwgs-1-T.clmp.fp2_r1_screen	8537.0	1288.0	149.0	105.0	69.0	11.0	16.0	3.0	0.0	0.0	7165.0	106973.0
Sob-APnd_005-Ex1-5A-lcwgs-1-T.clmp.fp2_r2_screen	8568.0	1337.0	147.0	83.0	64.0	18.0	7.0	5.0	4.0	0.0	7035.0	107048.0
Sob-APnd_006-Ex1-6A-lcwgs-1-T.clmp.fp2_r1_screen	91571.0	45067.0	7291.0	4331.0	2890.0	646.0	575.0	173.0	9.0	0.0	207797.0	4582711.0
Sob-APnd_006-Ex1-6A-lcwgs-1-T.clmp.fp2_r2_screen	91202.0	45542.0	7202.0	4186.0	2776.0	643.0	569.0	168.0	13.0	0.0	206566.0	4584194.0
Sob-APnd_007-Ex1-7A-lcwgs-1-T.clmp.fp2_r1_screen	350253.0	93549.0	11692.0	7646.0	4852.0	1147.0	990.0	312.0	14.0	0.0	466378.0	7777886.0
Sob-APnd_007-Ex1-7A-lcwgs-1-T.clmp.fp2_r2_screen	349242.0	93911.0	11567.0	7561.0	4684.0	1062.0	970.0	323.0	12.0	0.0	461400.0	7783987.0
Sob-APnd_008-Ex1-8A-lcwgs-1-T.clmp.fp2_r1_screen	18436.0	3992.0	511.0	265.0	180.0	58.0	45.0	6.0	1.0	0.0	16536.0	272701.0
Sob-APnd_008-Ex1-8A-lcwgs-1-T.clmp.fp2_r2_screen	18512.0	4039.0	507.0	286.0	159.0	43.0	51.0	19.0	8.0	0.0	16312.0	272795.0
Sob-APnd_009-Ex1-9A-lcwgs-1-T.clmp.fp2_r1_screen	8499.0	2593.0	367.0	204.0	114.0	41.0	21.0	9.0	0.0	0.0	9587.0	205863.0
Sob-APnd_009-Ex1-9A-lcwgs-1-T.clmp.fp2_r2_screen	8444.0	2701.0	362.0	183.0	119.0	29.0	18.0	8.0	0.0	0.0	9480.0	205954.0
Sob-APnd_010-Ex1-10A-lcwgs-1-T.clmp.fp2_r1_screen	47736.0	77463.0	11824.0	7579.0	4939.0	1352.0	1192.0	240.0	21.0	0.0	252431.0	8394710.0
Sob-APnd_010-Ex1-10A-lcwgs-1-T.clmp.fp2_r2_screen	47507.0	77670.0	11725.0	7263.0	4831.0	1237.0	1191.0	292.0	12.0	0.0	252169.0	8395590.0
Sob-APnd_011-Ex1-11A-lcwgs-1-T.clmp.fp2_r1_screen	5819.0	2572.0	277.0	198.0	145.0	30.0	30.0	11.0	0.0	0.0	8935.0	239736.0
Sob-APnd_011-Ex1-11A-lcwgs-1-T.clmp.fp2_r2_screen	5797.0	2540.0	279.0	190.0	130.0	38.0	24.0	14.0	3.0	0.0	8977.0	239761.0
Sob-APnd_012-Ex1-12A-lcwgs-1-T.clmp.fp2_r1_screen	24422.0	8495.0	921.0	622.0	345.0	102.0	107.0	29.0	0.0	0.0	34157.0	562755.0
Sob-APnd_012-Ex1-12A-lcwgs-1-T.clmp.fp2_r2_screen	24259.0	8577.0	890.0	607.0	322.0	75.0	99.0	26.0	2.0	0.0	33837.0	563261.0
Sob-APnd_013-Ex1-1B-lcwgs-1-T.clmp.fp2_r1_screen	22372.0	10905.0	1568.0	1041.0	838.0	158.0	164.0	38.0	1.0	0.0	47063.0	1500550.0
Sob-APnd_013-Ex1-1B-lcwgs-1-T.clmp.fp2_r2_screen	22290.0	11032.0	1514.0	1019.0	778.0	151.0	158.0	64.0	8.0	0.0	46817.0	1500867.0
Sob-APnd_014-Ex1-2B-lcwgs-1-T.clmp.fp2_r1_screen	31708.0	24825.0	4159.0	2716.0	1803.0	488.0	474.0	106.0	7.0	0.0	91963.0	2740075.0
Sob-APnd_014-Ex1-2B-lcwgs-1-T.clmp.fp2_r2_screen	31670.0	24915.0	3863.0	2677.0	1797.0	479.0	406.0	103.0	9.0	0.0	91460.0	2740945.0
Sob-APnd_015-Ex1-3B-lcwgs-1-T.clmp.fp2_r1_screen	27075.0	7655.0	1419.0	750.0	566.0	106.0	116.0	30.0	3.0	0.0	35332.0	973526.0
Sob-APnd_015-Ex1-3B-lcwgs-1-T.clmp.fp2_r2_screen	26843.0	7602.0	1389.0	739.0	544.0	99.0	100.0	41.0	10.0	0.0	34952.0	974259.0
Sob-APnd_016-Ex1-4B-lcwgs-1-T.clmp.fp2_r1_screen	76467.0	50566.0	7729.0	5225.0	3018.0	868.0	932.0	181.0	8.0	0.0	174454.0	4587579.0
Sob-APnd_016-Ex1-4B-lcwgs-1-T.clmp.fp2_r2_screen	76431.0	50528.0	7792.0	5174.0	2869.0	891.0	891.0	189.0	10.0	0.0	173201.0	4589051.0
Sob-APnd_017-Ex1-5B-lcwgs-1-T.clmp.fp2_r1_screen	10430.0	2282.0	276.0	178.0	142.0	16.0	22.0	9.0	0.0	0.0	9799.0	223680.0
Sob-APnd_017-Ex1-5B-lcwgs-1-T.clmp.fp2_r2_screen	10362.0	2176.0	270.0	181.0	134.0	28.0	26.0	9.0	3.0	0.0	9619.0	224026.0
Sob-APnd_018-Ex1-6B-lcwgs-1-T.clmp.fp2_r1_screen	60712.0	7184.0	358.0	249.0	116.0	31.0	34.0	19.0	1.0	0.0	32574.0	282496.0
Sob-APnd_018-Ex1-6B-lcwgs-1-T.clmp.fp2_r2_screen	60458.0	7342.0	402.0	230.0	128.0	44.0	31.0	30.0	6.0	0.0	31878.0	283225.0
Sob-APnd_019-Ex1-7B-lcwgs-1-T.clmp.fp2_r1_screen	12557.0	5157.0	726.0	469.0	342.0	56.0	63.0	18.0	0.0	0.0	21177.0	600270.0
Sob-APnd_019-Ex1-7B-lcwgs-1-T.clmp.fp2_r2_screen	12463.0	5329.0	726.0	469.0	296.0	68.0	58.0	20.0	2.0	0.0	20814.0	600590.0
Sob-APnd_020-Ex1-8B-lcwgs-1-T.clmp.fp2_r1_screen	70106.0	38095.0	5991.0	3297.0	2410.0	525.0	504.0	155.0	28.0	0.0	141766.0	4357100.0
Sob-APnd_020-Ex1-8B-lcwgs-1-T.clmp.fp2_r2_screen	70175.0	38178.0	5908.0	3470.0	2387.0	577.0	504.0	146.0	11.0	0.0	140597.0	4358024.0
Sob-APnd_021-Ex1-9B-lcwgs-1-T.clmp.fp2_r1_screen	48887.0	17738.0	2095.0	1404.0	1104.0	160.0	161.0	63.0	10.0	0.0	73821.0	1726407.0
Sob-APnd_021-Ex1-9B-lcwgs-1-T.clmp.fp2_r2_screen	48748.0	17872.0	2080.0	1426.0	1128.0	175.0	178.0	79.0	7.0	0.0	73189.0	1726968.0
Sob-APnd_022-Ex1-10B-lcwgs-1-T.clmp.fp2_r1_screen	3479.0	3288.0	431.0	277.0	256.0	47.0	40.0	22.0	3.0	0.0	14023.0	357742.0
Sob-APnd_022-Ex1-10B-lcwgs-1-T.clmp.fp2_r2_screen	3455.0	3378.0	454.0	279.0	221.0	49.0	46.0	25.0	9.0	0.0	13798.0	357894.0
Sob-APnd_023-Ex1-11B-lcwgs-1-T.clmp.fp2_r1_screen	3472.0	1155.0	102.0	75.0	43.0	15.0	12.0	6.0	0.0	0.0	3989.0	83707.0
Sob-APnd_023-Ex1-11B-lcwgs-1-T.clmp.fp2_r2_screen	3499.0	1124.0	114.0	65.0	49.0	11.0	9.0	8.0	1.0	0.0	3989.0	83707.0
Sob-APnd_024-Ex1-12B-lcwgs-1-T.clmp.fp2_r1_screen	97942.0	22720.0	2402.0	1262.0	766.0	174.0	145.0	75.0	1.0	0.0	114152.0	1287695.0
Sob-APnd_024-Ex1-12B-lcwgs-1-T.clmp.fp2_r2_screen	97501.0	22861.0	2359.0	1228.0	711.0	154.0	137.0	90.0	8.0	0.0	113063.0	1289222.0
Sob-APnd_025-Ex1-1C-lcwgs-1-T.clmp.fp2_r1_screen	74653.0	16638.0	2644.0	1547.0	1220.0	229.0	174.0	81.0	2.0	0.0	80947.0	2147376.0
Sob-APnd_025-Ex1-1C-lcwgs-1-T.clmp.fp2_r2_screen	74488.0	16643.0	2615.0	1567.0	1131.0	187.0	175.0	101.0	10.0	0.0	80287.0	2148307.0
Sob-APnd_026-Ex1-2C-lcwgs-1-T.clmp.fp2_r1_screen	4944.0	922.0	131.0	70.0	31.0	11.0	5.0	5.0	0.0	0.0	4190.0	76540.0
